horizon,model,trials_completed,test_rmse_mean,test_rmse_median,test_rmse_std,test_mae_mean,test_mae_median,test_mae_std,test_mape_mean,test_mape_median,test_mape_std,horizon_months
2020,lstm,100,1538.396220388375,1474.6285274388265,647.1857933816046,1321.77119907933,1255.650675455729,665.5044524388545,15.980559863181991,15.13767096867549,8.527065712476745,12
2020,seq2seq,100,1758.21570433138,1728.086157276167,149.15289277602923,1557.8103259277348,1527.6321818033853,158.12169080414682,18.927135374697144,18.545556961836724,1.9986438231499655,12
2020,seq2seq_attn,100,1745.3292839937278,1748.9952584030275,156.43291723924938,1546.924071044922,1551.5923461914062,167.48746601347034,18.79842571984317,18.856207750544225,2.1198824553016875,12
2020,tcn,100,2889.1598938025286,2799.1793000918196,2046.3228335430729,2596.444665400187,2524.0452880859375,1715.2778358619548,32.23266656522687,31.144468980128075,21.820081623283663,12
2020,transformer,100,2042.884166453596,2047.1240260590125,98.10215267687856,1871.3775056966144,1877.8822631835938,104.72957432923133,22.93789970340224,23.026810923386023,1.3353809109453327,12
2020,sarima,100,1570.9285530602886,1570.928553060289,4.570382840298462e-13,1381.1670568002671,1381.1670568002671,0.0,16.79565473377589,16.79565473377589,0.0,12
2020-2021,lstm,100,1824.7240308167993,1827.9098422144857,112.71785713908086,1653.471211547852,1657.8272603352866,112.8666358914416,18.70110716399285,18.750416607745507,1.2938243917299779,24
2020-2021,seq2seq,100,2396.9928100446946,2374.910144080147,214.80252401189313,2206.9755798339847,2184.4098205566406,211.28280573276558,25.03285184871184,24.765455401077315,2.4467401286400294,24
2020-2021,seq2seq_attn,100,2353.301621381809,2383.6853932643326,280.45296358277596,2165.4775736490883,2196.395721435547,277.4705577613497,24.561783833333678,24.916486014393804,3.2104030427367496,24
2020-2021,tcn,100,7796.668356467597,4127.882642697699,31170.238851524704,5950.644772326153,3689.8831380208335,18773.883472857553,67.46833942106132,42.12010532166309,210.38372936974721,24
2020-2021,transformer,100,2700.44897514954,2700.8675728932794,104.81223351964809,2530.706213785807,2528.2282206217446,107.3473922249257,28.87845154903354,28.860218866647806,1.2637336502628123,24
2020-2021,sarima,100,2097.6113376772264,2097.6113376772264,0.0,1929.9272683397974,1929.9272683397978,4.570382840298462e-13,21.91963552469679,21.919635524696794,3.570611593983174e-15,24
2020-2022,lstm,100,1786.5909650700914,1794.5953518050305,161.21610766492256,1661.1358299424912,1672.3355645073784,170.11293766357642,18.523673458113862,18.647863212945474,1.8960351529680184,36
2020-2022,seq2seq,100,2607.3089929024854,2650.6895565934437,255.1966370456242,2460.7933584255643,2502.8300509982637,249.03537166319975,27.430852949249573,27.901207321931928,2.807306881683681,36
2020-2022,seq2seq_attn,100,2592.2892627088668,2678.9311838036774,315.4257945160078,2447.374226345486,2532.155775282118,309.1747361810149,27.2867559271161,28.239249262746608,3.4865379119758715,36
2020-2022,tcn,100,18551.123682110967,5240.478756156495,98274.87528982204,12273.50273745689,4873.81630452474,56071.39706654647,134.73030046270077,54.43658906412624,609.2334100829148,36
2020-2022,transformer,100,2926.8240475783664,2941.7655863514556,110.61023597442033,2796.687060546875,2812.430168999566,113.02785026932222,31.314420390402464,31.49118796413488,1.2975974115965812,36
2020-2022,sarima,100,2243.618269897659,2243.61826989766,9.140765680596925e-13,2121.476986073834,2121.476986073834,0.0,23.69004520419271,23.690045204192714,3.570611593983174e-15,36
2020-2023,lstm,100,1813.2047247648482,1658.1875230969194,1355.7465807251854,1623.3640594482422,1500.3195139567056,989.3908150737465,18.02632367146227,16.62328403884348,11.155491563124073,48
2020-2023,seq2seq,100,2650.517180968702,2531.2662710966188,291.673826623382,2518.019116516113,2400.1596171061196,289.0014955688356,28.000368576155733,26.668584160524134,3.2593265058971075,48
2020-2023,seq2seq_attn,100,2680.7096234720234,2748.5476346453834,338.58677932125676,2548.3767531331378,2616.6754760742188,337.93509335501966,28.34824183954104,29.11578552124243,3.810767420809702,48
2020-2023,tcn,100,20273.014407490195,5037.121015654888,75285.7943714232,13707.066590637567,4723.120025634766,43505.89831258502,155.20220428596576,52.68068416712927,496.54874164214,48
2020-2023,transformer,100,2946.2855716587073,2941.148764673675,142.72102813401392,2826.9399816894525,2821.947926839193,144.98726121301002,31.545523285539662,31.48983613080599,1.6518805970698465,48
2020-2023,sarima,100,2262.5332068411803,2262.5332068411803,0.0,2146.222484376492,2146.222484376492,0.0,23.879815886671132,23.87981588667113,3.570611593983174e-15,48
