horizon,model,test_rmse_mean,test_rmse_median,test_rmse_std,test_mae_mean,test_mae_median,test_mae_std,test_mape_mean,test_mape_median,test_mape_std,model_name
2020,lstm,1538.396,1474.629,647.186,1321.771,1255.651,665.504,15.981,15.138,8.527,LSTM
2020,seq2seq,1758.216,1728.086,149.153,1557.81,1527.632,158.122,18.927,18.546,1.999,Seq2Seq
2020,seq2seq_attn,1745.329,1748.995,156.433,1546.924,1551.592,167.487,18.798,18.856,2.12,Seq2Seq+Attention
2020,tcn,2889.16,2799.179,2046.323,2596.445,2524.045,1715.278,32.233,31.144,21.82,TCN
2020,transformer,2042.884,2047.124,98.102,1871.378,1877.882,104.73,22.938,23.027,1.335,Transformer
2020,sarima,1570.929,1570.929,0.0,1381.167,1381.167,0.0,16.796,16.796,0.0,SARIMA
2020-2021,lstm,1824.724,1827.91,112.718,1653.471,1657.827,112.867,18.701,18.75,1.294,LSTM
2020-2021,seq2seq,2396.993,2374.91,214.803,2206.976,2184.41,211.283,25.033,24.765,2.447,Seq2Seq
2020-2021,seq2seq_attn,2353.302,2383.685,280.453,2165.478,2196.396,277.471,24.562,24.916,3.21,Seq2Seq+Attention
2020-2021,tcn,7796.668,4127.883,31170.239,5950.645,3689.883,18773.883,67.468,42.12,210.384,TCN
2020-2021,transformer,2700.449,2700.868,104.812,2530.706,2528.228,107.347,28.878,28.86,1.264,Transformer
2020-2021,sarima,2097.611,2097.611,0.0,1929.927,1929.927,0.0,21.92,21.92,0.0,SARIMA
2020-2022,lstm,1786.591,1794.595,161.216,1661.136,1672.336,170.113,18.524,18.648,1.896,LSTM
2020-2022,seq2seq,2607.309,2650.69,255.197,2460.793,2502.83,249.035,27.431,27.901,2.807,Seq2Seq
2020-2022,seq2seq_attn,2592.289,2678.931,315.426,2447.374,2532.156,309.175,27.287,28.239,3.487,Seq2Seq+Attention
2020-2022,tcn,18551.124,5240.479,98274.875,12273.503,4873.816,56071.397,134.73,54.437,609.233,TCN
2020-2022,transformer,2926.824,2941.766,110.61,2796.687,2812.43,113.028,31.314,31.491,1.298,Transformer
2020-2022,sarima,2243.618,2243.618,0.0,2121.477,2121.477,0.0,23.69,23.69,0.0,SARIMA
2020-2023,lstm,1813.205,1658.188,1355.747,1623.364,1500.32,989.391,18.026,16.623,11.155,LSTM
2020-2023,seq2seq,2650.517,2531.266,291.674,2518.019,2400.16,289.001,28.0,26.669,3.259,Seq2Seq
2020-2023,seq2seq_attn,2680.71,2748.548,338.587,2548.377,2616.675,337.935,28.348,29.116,3.811,Seq2Seq+Attention
2020-2023,tcn,20273.014,5037.121,75285.794,13707.067,4723.12,43505.898,155.202,52.681,496.549,TCN
2020-2023,transformer,2946.286,2941.149,142.721,2826.94,2821.948,144.987,31.546,31.49,1.652,Transformer
2020-2023,sarima,2262.533,2262.533,0.0,2146.222,2146.222,0.0,23.88,23.88,0.0,SARIMA
