horizon,horizon_months,model,trials_completed,test_rmse_mean,test_rmse_median,test_rmse_std,test_mae_mean,test_mae_median,test_mae_std,test_mape_mean,test_mape_median,test_mape_std
2020,12,lstm,100,1479.8118,1474.6865,121.241,1260.4617,1255.6537,134.2452,15.1946,15.1312,1.7023
2020-2021,24,lstm,100,1835.9209,1826.5996,232.6201,1662.8908,1657.0427,230.4161,18.8099,18.7443,2.648
2020-2022,36,lstm,100,1807.0345,1787.7178,314.9523,1678.7723,1665.7871,312.3545,18.7201,18.5775,3.4906
2020-2023,48,lstm,100,1709.8166,1666.6343,355.9754,1552.3519,1507.5497,353.1335,17.2276,16.7031,3.9304
2020,12,seq2seq,100,1757.1995,1701.6478,143.6912,1556.839,1498.6909,152.2428,18.9147,18.1775,1.9245
2020-2021,24,seq2seq,100,2394.8299,2320.916,221.4999,2204.8434,2131.1257,217.8274,25.0083,24.1482,2.5224
2020-2022,36,seq2seq,100,2602.0311,2518.9442,264.7277,2455.5667,2374.1986,258.4638,27.3718,26.4474,2.9146
2020-2023,48,seq2seq,100,2649.668,2561.7313,287.7381,2517.0716,2430.8024,285.0891,27.9893,27.0157,3.2147
2020,12,seq2seq_attn,100,1784.3091,1817.1204,151.4799,1588.4655,1625.4145,162.6228,19.324,19.7923,2.0581
2020-2021,24,seq2seq_attn,100,2431.7775,2486.129,236.6982,2243.2156,2298.2391,233.7726,25.4613,26.1006,2.7077
2020-2022,36,seq2seq_attn,100,2644.8428,2713.3652,286.169,2498.7362,2565.5966,280.0188,27.8653,28.6157,3.1569
2020-2023,48,seq2seq_attn,100,2695.9152,2772.1685,313.098,2563.617,2639.874,311.5081,28.5192,29.3766,3.5123
2020,12,tcn,100,2722.1361,2736.0326,1164.0681,2453.3165,2502.6766,1088.6167,30.4195,30.8956,13.7737
2020-2021,24,tcn,100,4624.5568,4323.9807,3543.2334,4083.555,4024.6765,2693.5409,46.5939,46.0609,30.5787
2020-2022,36,tcn,100,7237.1474,5487.0468,11053.2949,6059.6576,5054.5265,7522.8458,67.3118,56.0665,82.3729
2020-2023,48,tcn,100,12460.3369,6064.4977,32319.2767,9475.4752,5745.0129,20278.5177,106.7063,64.311,230.0899
2020,12,transformer,100,2044.8443,2052.8491,106.8645,1873.5125,1878.8173,113.9682,22.9653,23.0289,1.4521
2020-2021,24,transformer,100,2702.1344,2725.2476,121.4472,2532.0088,2556.416,125.1782,28.8923,29.1673,1.4752
2020-2022,36,transformer,100,2914.7558,2934.9441,128.9389,2782.9677,2806.6235,130.9838,31.1516,31.4271,1.5001
2020-2023,48,transformer,100,2962.1491,2980.4242,132.2135,2843.3538,2863.6576,134.4225,31.7337,31.9758,1.5322
2020,12,sarima,100,1570.9286,1570.9286,0.0,1381.1671,1381.1671,0.0,16.7957,16.7957,0.0
2020-2021,24,sarima,100,2097.6113,2097.6113,0.0,1929.9273,1929.9273,0.0,21.9196,21.9196,0.0
2020-2022,36,sarima,100,2243.6183,2243.6183,0.0,2121.477,2121.477,0.0,23.69,23.69,0.0
2020-2023,48,sarima,100,2262.5332,2262.5332,0.0,2146.2225,2146.2225,0.0,23.8798,23.8798,0.0
