model_name,n_trials,n_seeds,mean_rmse,std_rmse,cv_rmse,total_evaluations
LSTM_Config2,5,1,807.1522,1098.1409,1.3605127,5
LSTM_Config2,10,1,566.8604,775.246,1.3676136,10
LSTM_Config2,15,1,480.22034,634.46106,1.3211874,15
LSTM_Config2,20,1,466.39093,555.034,1.1900617,20
LSTM_Config2,25,1,447.64026,499.44226,1.1157224,25
LSTM_Config2,30,1,461.32806,482.59933,1.0461087,30
LSTM_Config2,35,1,474.80557,469.969,0.98981357,35
LSTM_Config2,40,1,503.5761,470.641,0.93459755,40
LSTM_Config2,45,1,488.07584,446.11444,0.9140269,45
LSTM_Config2,50,1,473.21344,425.22562,0.8985916,50
LSTM_Config2,5,6,449.65823,466.8059,1.0381349,30
LSTM_Config2,10,6,421.64905,360.4687,0.85490215,60
LSTM_Config2,15,6,492.64215,672.5511,1.3651919,90
LSTM_Config2,20,6,563.6425,771.67114,1.369079,120
LSTM_Config2,25,6,601.96893,850.8695,1.4134774,150
LSTM_Config2,30,6,568.46564,787.0669,1.3845462,180
LSTM_Config2,35,6,542.57434,735.43097,1.3554474,210
LSTM_Config2,40,6,570.8344,790.59015,1.3849728,240
LSTM_Config2,45,6,555.06854,753.91077,1.35823,270
LSTM_Config2,50,6,542.64685,728.14557,1.3418406,300
LSTM_Config2,5,11,542.35455,601.616,1.109267,55
LSTM_Config2,10,11,495.86658,516.89325,1.0424039,110
LSTM_Config2,15,11,519.9768,629.65656,1.210932,165
LSTM_Config2,20,11,549.0333,672.9641,1.2257254,220
LSTM_Config2,25,11,595.31067,750.4002,1.2605187,275
LSTM_Config2,30,11,564.7428,696.1192,1.2326305,330
LSTM_Config2,35,11,549.37054,663.3553,1.2074825,385
LSTM_Config2,40,11,562.0606,700.3806,1.2460945,440
LSTM_Config2,45,11,547.5812,669.6206,1.22287,495
LSTM_Config2,50,11,550.05554,674.78217,1.2267528,550
LSTM_Config2,5,16,551.9294,590.8814,1.0705743,80
LSTM_Config2,10,16,507.00513,524.10254,1.0337224,160
LSTM_Config2,15,16,505.3224,580.6699,1.1491078,240
LSTM_Config2,20,16,518.7372,604.9283,1.1661556,320
LSTM_Config2,25,16,569.79266,710.3025,1.2465981,400
LSTM_Config2,30,16,554.75793,679.89496,1.2255704,480
LSTM_Config2,35,16,541.907,651.2678,1.2018074,560
LSTM_Config2,40,16,546.25946,670.3055,1.2270826,640
LSTM_Config2,45,16,544.5072,665.619,1.2224246,720
LSTM_Config2,50,16,545.11475,662.1202,1.2146437,800
LSTM_Config2,5,21,515.61273,527.0705,1.0222217,105
LSTM_Config2,10,21,502.67966,521.54834,1.0375361,210
LSTM_Config2,15,21,514.57477,591.3242,1.1491512,315
LSTM_Config2,20,21,554.96387,702.84216,1.2664647,420
LSTM_Config2,25,21,604.8856,817.28406,1.3511382,525
LSTM_Config2,30,21,587.5525,786.9158,1.3393115,630
LSTM_Config2,35,21,575.8514,769.6961,1.3366228,735
LSTM_Config2,40,21,575.6047,774.558,1.3456423,840
LSTM_Config2,45,21,573.5499,759.232,1.3237418,945
LSTM_Config2,50,21,572.1117,755.4442,1.3204489,1050
LSTM_Config2,5,26,501.97476,485.24887,0.9666798,130
LSTM_Config2,10,26,499.21375,501.74503,1.0050706,260
LSTM_Config2,15,26,515.784,597.0778,1.1576122,390
LSTM_Config2,20,26,551.6375,687.68463,1.2466241,520
LSTM_Config2,25,26,592.3447,780.68884,1.3179637,650
LSTM_Config2,30,26,577.91003,751.2864,1.3000058,780
LSTM_Config2,35,26,564.4062,733.11584,1.2989153,910
