model_name,mean_rmse,median_rmse,std_rmse,min_rmse,max_rmse,count_rmse,mean_mae,median_mae,std_mae,mean_mape,median_mape,std_mape,sum_compute_time,mean_compute_time,n_trials,n_seeds,total_evaluations
LSTM_Config2,891.7181,368.2392,1246.4849,270.3823,5656.4175,25,756.9071,305.3371,1161.8244,12.3661,5.1362,18.8598,105.1055,4.2042,5,5,25
LSTM_Config2,734.9243,329.4172,1199.8452,242.6212,6105.574,50,634.3593,268.7779,1159.1341,10.4253,4.4605,18.917,210.9635,4.2193,5,10,50
LSTM_Config2,707.3593,330.3685,1074.189,211.0814,6105.574,75,612.5774,273.7227,1035.4182,10.0826,4.5352,16.8993,318.2033,4.2427,5,15,75
LSTM_Config2,631.0662,318.5862,945.3792,211.0814,6105.574,100,541.4464,260.5272,908.7986,8.9196,4.3417,14.8286,424.6795,4.2468,5,20,100
LSTM_Config2,634.0865,319.7149,994.4833,211.0814,6238.1206,125,545.2432,261.0412,939.7997,8.9755,4.3425,15.2916,533.8079,4.2705,5,25,125
LSTM_Config2,598.1809,318.5862,913.9629,211.0814,6238.1206,150,511.6783,259.8544,863.3843,8.4304,4.3396,14.0471,642.6671,4.2844,5,30,150
LSTM_Config2,583.4066,319.7149,853.7365,211.0814,6238.1206,175,496.8814,261.0418,804.5292,8.1808,4.3646,13.0866,753.4232,4.3053,5,35,175
LSTM_Config2,603.6012,325.6918,901.1432,211.0814,6238.1206,200,519.388,264.8235,861.0508,8.5506,4.3901,14.0331,865.1327,4.3257,5,40,200
LSTM_Config2,617.0862,319.2841,950.986,211.0814,6238.1206,225,534.7882,261.0418,917.8335,8.8048,4.3699,14.9796,976.5663,4.3403,5,45,225
LSTM_Config2,619.9744,325.6918,933.346,211.0814,6238.1206,250,537.5726,267.5281,900.0716,8.8454,4.4342,14.6798,1089.2166,4.3569,5,50,250
LSTM_Config2,762.598,345.8544,1028.1839,270.3823,5656.4175,50,640.982,284.8041,919.8458,10.4743,4.7097,14.8961,211.076,4.2215,10,5,50
LSTM_Config2,622.9553,328.2742,937.3713,242.6212,6105.574,100,528.6719,265.4246,879.296,8.6934,4.4419,14.3207,422.9923,4.2299,10,10,100
LSTM_Config2,650.5802,332.6776,911.3985,211.0814,6105.574,150,557.2804,278.6837,858.3718,9.1732,4.6059,13.9847,636.7638,4.2451,10,15,150
LSTM_Config2,604.935,328.0365,832.7403,211.0814,6105.574,200,514.4348,262.7494,780.179,8.4743,4.3752,12.7017,849.601,4.248,10,20,200
LSTM_Config2,598.2798,319.2308,849.462,211.0814,6238.1206,250,509.1254,261.0262,789.4983,8.3863,4.3396,12.8319,1065.5763,4.2623,10,25,250
LSTM_Config2,578.9864,319.0258,796.0857,211.0814,6238.1206,300,489.4354,261.0262,734.8975,8.0659,4.3396,11.9396,1282.5827,4.2753,10,30,300
LSTM_Config2,567.2864,319.7769,749.4777,211.0814,6238.1206,350,478.4694,262.0481,690.2748,7.8834,4.3534,11.2118,1502.4998,4.2929,10,35,350
LSTM_Config2,566.2358,318.5778,764.8799,211.0814,6238.1206,400,479.8051,261.0484,714.1909,7.9087,4.3417,11.618,1726.3087,4.3158,10,40,400
LSTM_Config2,577.3972,318.5778,788.6682,211.0814,6238.1206,450,490.8522,261.2414,743.4928,8.0919,4.3437,12.1111,1949.7135,4.3327,10,45,450
LSTM_Config2,592.6939,321.6118,812.5719,211.0814,6238.1206,500,506.447,263.2504,771.2082,8.3434,4.3901,12.5676,2174.8324,4.3497,10,50,500
LSTM_Config2,744.8252,340.5823,988.9326,266.8948,5656.4175,75,620.1074,282.5355,865.2969,10.1477,4.6879,14.0118,316.4353,4.2191,15,5,75
LSTM_Config2,650.5901,328.2742,941.6998,242.6212,6105.574,150,546.6132,265.4246,858.9981,8.9817,4.4419,13.9548,634.4552,4.2297,15,10,150
LSTM_Config2,644.7146,330.8889,881.798,211.0814,6105.574,225,544.4215,273.4537,809.1458,8.9612,4.5277,13.1538,955.6777,4.2475,15,15,225
LSTM_Config2,598.5703,324.0436,802.834,211.0814,6105.574,300,503.1326,261.0262,733.7518,8.2908,4.3434,11.9273,1275.9939,4.2533,15,20,300
LSTM_Config2,598.4087,319.1775,861.8231,211.0814,6910.208,375,504.9902,258.1814,787.678,8.3191,4.3195,12.7842,1601.6425,4.271,15,25,375
LSTM_Config2,601.6718,319.4692,866.5557,211.0814,6910.208,450,508.3766,259.5641,799.0412,8.3759,4.3283,12.9833,1927.3959,4.2831,15,30,450
LSTM_Config2,594.473,320.5304,833.4625,211.0814,6910.208,525,501.6956,261.0412,768.2274,8.2637,4.3425,12.4746,2255.9099,4.297,15,35,525
LSTM_Config2,584.5013,318.5778,823.9066,211.0814,6910.208,600,494.7168,259.5641,765.5942,8.1526,4.3283,12.442,2590.4465,4.3174,15,40,600
