Horizon,Horizon_Months,Model,SARIMA_Test_RMSE,Model_Test_RMSE,RMSE_Difference
2020,12,LSTM,1570.929,1485.509,-85.419
2020,12,Seq2Seq,1570.929,1752.112,+181.184
2020,12,Seq2Seq+Attention,1570.929,1717.511,+146.583
2020,12,TCN,1570.929,1755.096,+184.168
2020,12,Transformer,1570.929,2054.539,+483.610
2020-2021,24,LSTM,2097.611,1847.959,-249.653
2020-2021,24,Seq2Seq,2097.611,2387.503,+289.892
2020-2021,24,Seq2Seq+Attention,2097.611,2322.243,+224.632
2020-2021,24,TCN,2097.611,2033.930,-63.681
2020-2021,24,Transformer,2097.611,2717.204,+619.592
2020-2022,36,LSTM,2243.618,1818.511,-425.108
2020-2022,36,Seq2Seq,2243.618,2592.772,+349.154
2020-2022,36,Seq2Seq+Attention,2243.618,2507.796,+264.178
2020-2022,36,TCN,2243.618,1731.256,-512.362
2020-2022,36,Transformer,2243.618,2933.131,+689.513
2020-2023,48,LSTM,2262.533,1699.897,-562.636
2020-2023,48,Seq2Seq,2262.533,2638.697,+376.164
2020-2023,48,Seq2Seq+Attention,2262.533,2541.988,+279.454
2020-2023,48,TCN,2262.533,2232.832,-29.701
2020-2023,48,Transformer,2262.533,2982.251,+719.718
