Model,Horizon,Horizon_Months,Test_RMSE_Mean,Test_RMSE_Std,Test_MAE_Mean,Test_MAE_Std,Test_MAPE_Mean,Test_MAPE_Std,Trials_Completed
LSTM,2020,12,2416.604,1236.959,2167.115,1196.892,26.90%,15.32%,100
LSTM,2020-2021,24,2977.132,1439.049,2694.730,1309.553,31.03%,15.43%,100
LSTM,2020-2022,36,3193.245,1626.588,2906.075,1489.361,32.74%,16.96%,100
LSTM,2020-2023,48,3328.593,1832.277,3014.803,1671.972,33.85%,18.94%,100
Seq2Seq,2020,12,1644.666,36.800,1435.044,39.526,17.37%,0.50%,100
Seq2Seq,2020-2021,24,2247.787,67.536,2055.344,65.273,23.26%,0.75%,100
Seq2Seq,2020-2022,36,2438.051,89.500,2291.138,85.767,25.50%,0.96%,100
Seq2Seq,2020-2023,48,2477.938,104.082,2344.044,102.327,26.03%,1.15%,100
Seq2Seq+Attention,2020,12,1718.490,78.077,1513.606,82.719,18.36%,1.04%,100
Seq2Seq+Attention,2020-2021,24,2360.027,122.397,2166.127,120.083,24.54%,1.39%,100
Seq2Seq+Attention,2020-2022,36,2570.474,147.090,2420.873,143.303,26.96%,1.61%,100
Seq2Seq+Attention,2020-2023,48,2620.612,160.459,2485.774,158.823,27.62%,1.79%,100
TCN,2020,12,2392.947,880.241,2129.048,831.399,26.25%,10.46%,100
TCN,2020-2021,24,4144.647,3457.362,3617.077,2424.604,41.16%,27.37%,100
TCN,2020-2022,36,7039.213,16001.820,5669.230,9702.296,62.80%,105.66%,100
TCN,2020-2023,48,15683.483,75212.326,10645.446,40535.894,120.55%,465.27%,100
Transformer,2020,12,2078.052,102.722,1907.242,109.095,23.39%,1.39%,100
Transformer,2020-2021,24,2742.109,117.621,2572.075,120.362,29.36%,1.42%,100
Transformer,2020-2022,36,2957.430,126.921,2825.602,127.774,31.64%,1.46%,100
Transformer,2020-2023,48,3006.075,131.900,2887.494,132.920,32.23%,1.51%,100
SARIMA,2020,12,1439.514,0.000,1244.437,0.000,15.07%,0.00%,100
SARIMA,2020-2021,24,1842.400,0.000,1688.019,0.000,19.15%,0.00%,100
SARIMA,2020-2022,36,1840.500,0.000,1734.870,0.000,19.39%,0.00%,100
SARIMA,2020-2023,48,1733.679,0.000,1592.771,0.000,17.68%,0.00%,100
