Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,LSTM_Mean,LSTM_CI_Lower,LSTM_CI_Upper,LSTM_PI_Lower,LSTM_PI_Upper,Dataset,Horizon,Horizon_Months
2017-01-01,6505.0,7064.979816460045,7064.979816460044,7064.979816460046,5111.167793125558,9018.791839794532,5183.293,3814.5554,6552.0303,2965.2231,7401.363,Train,2020-2021,24
2017-02-01,5813.0,6617.3485603628815,6617.348560362881,6617.348560362882,4663.536537028394,8571.160583697369,4968.699,3769.9658,6167.4326,2750.6294,7186.769,Train,2020-2021,24
2017-03-01,6379.0,6327.2422971491615,6327.2422971491615,6327.2422971491615,4373.430273814674,8281.054320483649,4896.9956,3625.99,6168.001,2678.9258,7115.0654,Train,2020-2021,24
2017-04-01,6091.0,6079.626160975285,6079.626160975284,6079.6261609752855,4125.814137640798,8033.438184309771,5501.031,4736.409,6265.6523,3282.961,7719.1006,Train,2020-2021,24
2017-05-01,6219.0,6094.638202705189,6094.638202705189,6094.638202705189,4140.826179370702,8048.450226039675,5196.1133,4197.0747,6195.152,2978.0435,7414.183,Train,2020-2021,24
2017-06-01,6052.0,6090.939190626028,6090.939190626028,6090.939190626028,4137.127167291541,8044.751213960515,5827.1514,4679.255,6975.048,3609.0815,8045.221,Train,2020-2021,24
2017-07-01,6105.0,6422.361091399268,6422.361091399268,6422.361091399268,4468.549068064782,8376.173114733754,5390.856,4127.7656,6653.9463,3172.7861,7608.926,Train,2020-2021,24
2017-08-01,6030.0,5999.032302168206,5999.032302168206,5999.032302168206,4045.2202788337195,7952.844325502692,5766.686,4356.8184,7176.5537,3548.6162,7984.756,Train,2020-2021,24
2017-09-01,5969.0,5912.376100839152,5912.376100839152,5912.376100839152,3958.5640775046654,7866.188124173639,5475.9995,4301.219,6650.78,3257.9297,7694.0693,Train,2020-2021,24
2017-10-01,5707.0,6139.177723255214,6139.177723255213,6139.177723255215,4185.365699920727,8092.989746589701,6060.673,4779.1206,7342.225,3842.603,8278.742,Train,2020-2021,24
2017-11-01,5681.0,5630.112178760209,5630.112178760208,5630.11217876021,3676.300155425722,7583.924202094695,5226.2334,3907.143,6545.3237,3008.1636,7444.303,Train,2020-2021,24
2017-12-01,6052.0,5948.060635920198,5948.0606359201975,5948.060635920199,3994.2486125857117,7901.872659254685,5672.947,4833.382,6512.5117,3454.877,7891.0166,Train,2020-2021,24
2018-01-01,5904.0,6813.856842262458,6813.856842262457,6813.8568422624585,4860.0448189279705,8767.668865596945,5097.0845,3499.456,6694.713,2879.0146,7315.1543,Train,2020-2021,24
2018-02-01,5426.0,5575.215556047499,5575.2155560474985,5575.2155560475,3621.4035327130127,7529.027579381986,6026.943,4185.7324,7868.1533,3808.873,8245.013,Train,2020-2021,24
2018-03-01,6005.0,5979.405474600747,5979.405474600747,5979.405474600747,4025.59345126626,7933.217497935233,5169.3955,3872.4128,6466.378,2951.3257,7387.4653,Train,2020-2021,24
2018-04-01,5766.0,5698.739568918026,5698.739568918026,5698.739568918026,3744.927545583539,7652.551592252512,5424.918,4386.4224,6463.4136,3206.8481,7642.988,Train,2020-2021,24
2018-05-01,5946.0,5843.610855974663,5843.610855974662,5843.6108559746635,3889.798832640176,7797.42287930915,5375.3354,4298.2344,6452.4365,3157.2656,7593.4053,Train,2020-2021,24
2018-06-01,5981.0,5784.347348858907,5784.347348858907,5784.347348858907,3830.5353255244204,7738.159372193393,4965.753,3659.6514,6271.8545,2747.683,7183.8228,Train,2020-2021,24
2018-07-01,6104.0,6172.2512938969,6172.2512938969,6172.2512938969,4218.439270562414,8126.0633172313865,5573.846,3642.6873,7505.005,3355.7764,7791.916,Train,2020-2021,24
2018-08-01,5991.0,6011.273621553612,6011.273621553612,6011.273621553612,4057.461598219126,7965.085644888099,5834.9175,4516.0884,7153.7466,3616.8477,8052.9873,Train,2020-2021,24
