Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,LSTM_Mean,LSTM_CI_Lower,LSTM_CI_Upper,LSTM_PI_Lower,LSTM_PI_Upper,Dataset,Horizon,Horizon_Months
2017-01-01,6505.0,7064.979816460045,7064.979816460044,7064.979816460046,5674.972473289637,8454.987159630455,5183.293,3814.5554,6552.0303,3163.9297,7202.6562,Train,2020,12
2017-02-01,5813.0,6617.3485603628815,6617.348560362881,6617.348560362882,5227.341217192473,8007.35590353329,4968.699,3769.9658,6167.4326,2949.336,6988.0625,Train,2020,12
2017-03-01,6379.0,6327.2422971491615,6327.2422971491615,6327.2422971491615,4937.234953978753,7717.24964031957,4896.9956,3625.99,6168.001,2877.6323,6916.359,Train,2020,12
2017-04-01,6091.0,6079.626160975285,6079.626160975284,6079.6261609752855,4689.618817804876,7469.633504145693,5501.031,4736.409,6265.6523,3481.6675,7520.394,Train,2020,12
2017-05-01,6219.0,6094.638202705189,6094.638202705189,6094.638202705189,4704.63085953478,7484.645545875597,5196.1133,4197.0747,6195.152,3176.75,7215.4766,Train,2020,12
2017-06-01,6052.0,6090.939190626028,6090.939190626028,6090.939190626028,4700.931847455619,7480.946533796437,5827.1514,4679.255,6975.048,3807.788,7846.5146,Train,2020,12
2017-07-01,6105.0,6422.361091399268,6422.361091399268,6422.361091399268,5032.353748228859,7812.3684345696765,5390.856,4127.7656,6653.9463,3371.4927,7410.219,Train,2020,12
2017-08-01,6030.0,5999.032302168206,5999.032302168206,5999.032302168206,4609.0249589977975,7389.039645338615,5766.686,4356.8184,7176.5537,3747.3228,7786.0493,Train,2020,12
2017-09-01,5969.0,5912.376100839152,5912.376100839152,5912.376100839152,4522.3687576687435,7302.383444009561,5475.9995,4301.219,6650.78,3456.6362,7495.363,Train,2020,12
2017-10-01,5707.0,6139.177723255214,6139.177723255213,6139.177723255215,4749.170380084805,7529.185066425623,6060.673,4779.1206,7342.225,4041.3096,8080.036,Train,2020,12
2017-11-01,5681.0,5630.112178760209,5630.112178760208,5630.11217876021,4240.1048355898,7020.119521930617,5226.2334,3907.143,6545.3237,3206.87,7245.5967,Train,2020,12
2017-12-01,6052.0,5948.060635920198,5948.0606359201975,5948.060635920199,4558.05329274979,7338.067979090607,5672.947,4833.382,6512.5117,3653.5835,7692.31,Train,2020,12
2018-01-01,5904.0,6813.856842262458,6813.856842262457,6813.8568422624585,5423.849499092049,8203.864185432867,5097.0845,3499.456,6694.713,3077.7212,7116.4478,Train,2020,12
2018-02-01,5426.0,5575.215556047499,5575.2155560474985,5575.2155560475,4185.208212877091,6965.222899217908,6026.943,4185.7324,7868.1533,4007.5796,8046.306,Train,2020,12
2018-03-01,6005.0,5979.405474600747,5979.405474600747,5979.405474600747,4589.398131430338,7369.4128177711555,5169.3955,3872.4128,6466.378,3150.0322,7188.759,Train,2020,12
2018-04-01,5766.0,5698.739568918026,5698.739568918026,5698.739568918026,4308.732225747617,7088.746912088434,5424.918,4386.4224,6463.4136,3405.5547,7444.2812,Train,2020,12
2018-05-01,5946.0,5843.610855974663,5843.610855974662,5843.6108559746635,4453.603512804254,7233.618199145071,5375.3354,4298.2344,6452.4365,3355.9722,7394.6987,Train,2020,12
2018-06-01,5981.0,5784.347348858907,5784.347348858907,5784.347348858907,4394.340005688498,7174.354692029316,4965.753,3659.6514,6271.8545,2946.3896,6985.116,Train,2020,12
2018-07-01,6104.0,6172.2512938969,6172.2512938969,6172.2512938969,4782.243950726492,7562.258637067309,5573.846,3642.6873,7505.005,3554.483,7593.2095,Train,2020,12
2018-08-01,5991.0,6011.273621553612,6011.273621553612,6011.273621553612,4621.266278383204,7401.280964724021,5834.9175,4516.0884,7153.7466,3815.5542,7854.281,Train,2020,12
2018-09-01,5670.0,5905.972321501537,5905.9723215015365,5905.972321501538,4515.964978331129,7295.979664671946,6010.747,3674.2146,8347.279,3991.3838,8030.1104,Train,2020,12
2018-10-01,5709.0,5607.717167184074,5607.717167184073,5607.717167184075,4217.709824013666,6997.724510354483,5189.94,3492.7842,6887.0957,3170.5767,7209.303,Train,2020,12
2018-11-01,5416.0,5637.518087418205,5637.518087418205,5637.518087418205,4247.5107442477965,7027.525430588614,5142.006,4034.0217,6249.99,3122.6426,7161.369,Train,2020,12
2018-12-01,5793.0,5762.875392061121,5762.87539206112,5762.875392061122,4372.868048890712,7152.882735231529,5618.6685,3962.334,7275.003,3599.3052,7638.0317,Train,2020,12
2019-01-01,5750.0,5887.130407117916,5887.130407117915,5887.130407117917,4497.123063947507,7277.137750288324,5303.3184,4203.887,6402.7495,3283.955,7322.6816,Train,2020,12
2019-02-01,5399.0,5361.820505674964,5361.820505674963,5361.820505674965,3971.8131625045553,6751.8278488453725,5899.077,3566.682,8231.473,3879.7139,7918.4404,Train,2020,12
2019-03-01,6123.0,5966.125379999599,5966.125379999598,5966.1253799996,4576.118036829191,7356.132723170008,5579.66,4222.2573,6937.063,3560.2969,7599.0234,Train,2020,12
2019-04-01,5730.0,5853.500185744103,5853.500185744103,5853.500185744103,4463.492842573694,7243.507528914512,6177.704,3517.3806,8838.027,4158.341,8197.067,Train,2020,12
2019-05-01,6015.0,5854.397180980232,5854.397180980232,5854.397180980232,4464.389837809824,7244.404524150641,5454.538,4220.5,6688.576,3435.1748,7473.9014,Train,2020,12
2019-06-01,5989.0,5976.1807051169235,5976.1807051169235,5976.1807051169235,4586.173361946515,7366.188048287332,5166.3936,3577.0833,6755.704,3147.0303,7185.757,Train,2020,12
2019-07-01,6333.0,6153.816206155919,6153.816206155919,6153.816206155919,4763.80886298551,7543.823549326327,5686.541,3002.329,8370.753,3667.1777,7705.9043,Train,2020,12
2019-08-01,6388.0,6205.540708931513,6205.540708931512,6205.540708931514,4815.5333657611045,7595.548052101922,5265.9414,4139.0703,6392.8125,3246.5781,7285.3047,Train,2020,12
2019-09-01,6048.0,6145.923999741461,6145.92399974146,6145.923999741462,4755.916656571052,7535.931342911869,4301.7246,2801.692,5801.7573,2282.3613,6321.088,Train,2020,12
2019-10-01,6322.0,6055.889201542898,6055.889201542897,6055.889201542899,4665.88185837249,7445.896544713307,5557.0127,3528.3118,7585.714,3537.6494,7576.376,Train,2020,12
2019-11-01,6405.0,6140.470592509685,6140.470592509684,6140.470592509686,4750.463249339276,7530.477935680094,5244.7773,4310.632,6178.923,3225.414,7264.1406,Train,2020,12
2019-12-01,6523.0,6776.260344783286,6776.260344783285,6776.260344783287,5386.253001612878,8166.267687953695,5053.66,3990.8848,6116.4355,3034.2969,7073.0234,Train,2020,12
2020-01-01,6732.0,6547.088561760247,6547.088561760247,6547.088561760247,5157.0812185898385,7937.095904930656,5242.4717,4340.8755,6144.068,3223.1084,7261.835,Test,2020,12
2020-02-01,6587.0,6104.018978825162,6104.018978825161,6104.018978825163,4714.011635654753,7494.0263219955705,5505.948,3597.9224,7413.974,3486.585,7525.3115,Test,2020,12
2020-03-01,7438.0,6763.997570833244,6763.997570833243,6763.997570833245,5373.990227662835,8154.004914003653,5477.144,3961.6921,6992.5957,3457.7808,7496.5073,Test,2020,12
2020-04-01,8138.0,6428.03375876442,6428.033758764419,6428.033758764421,5038.026415594011,7818.0411019348285,4935.4365,3749.552,6121.3213,2916.0732,6954.8,Test,2020,12
2020-05-01,9609.0,6659.208208597882,6659.208208597881,6659.208208597883,5269.200865427473,8049.21555176829,5228.063,4130.2915,6325.8345,3208.6997,7247.4263,Test,2020,12
2020-06-01,8378.0,6623.868984683088,6623.868984683087,6623.8689846830885,5233.861641512679,8013.876327853496,5098.7744,3327.6797,6869.869,3079.4111,7118.1377,Test,2020,12
2020-07-01,8692.0,6861.477601975666,6861.477601975666,6861.477601975666,5471.470258805258,8251.484945146076,6725.66,3892.6096,9558.711,4706.297,8745.023,Test,2020,12
2020-08-01,8436.0,6851.552374798108,6851.552374798106,6851.55237479811,5461.545031627699,8241.559717968517,4842.826,2775.3474,6910.3047,2823.463,6862.1895,Test,2020,12
2020-09-01,7657.0,6565.116080438083,6565.1160804380825,6565.116080438084,5175.108737267675,7955.123423608492,5658.4204,4534.4907,6782.35,3639.0571,7677.7837,Test,2020,12
