Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Seq2Seq+Attention_Mean,Seq2Seq+Attention_CI_Lower,Seq2Seq+Attention_CI_Upper,Seq2Seq+Attention_PI_Lower,Seq2Seq+Attention_PI_Upper,Dataset,Horizon,Horizon_Months
2015-04-01,4462.0,4813.467757491103,4813.467757491102,4813.467757491104,2964.320167426418,6662.615347555788,4734.2295,4723.7495,4744.7095,2496.288,6972.171,Train,2020-2021,24
2015-05-01,4642.0,4470.468282966975,4470.468282966974,4470.4682829669755,2621.3206929022895,6319.61587303166,4680.656,4663.0454,4698.266,2442.7144,6918.597,Train,2020-2021,24
2015-06-01,4369.0,4637.738738814686,4637.738738814685,4637.738738814687,2788.591148750001,6486.886328879371,4771.285,4755.4507,4787.1196,2533.3438,7009.2266,Train,2020-2021,24
2015-07-01,4672.0,4375.26905648758,4375.269056487579,4375.269056487581,2526.121466422895,6224.416646552265,4629.4194,4603.7764,4655.0625,2391.478,6867.361,Train,2020-2021,24
2015-08-01,4661.0,4665.007261546665,4665.007261546664,4665.007261546666,2815.85967148198,6514.154851611351,4702.54,4687.1953,4717.885,2464.5986,6940.4814,Train,2020-2021,24
2015-09-01,4655.0,4661.406672415176,4661.406672415175,4661.406672415177,2812.259082350491,6510.554262479862,4717.327,4705.665,4728.9893,2479.3857,6955.2686,Train,2020-2021,24
2015-10-01,4716.0,4655.126480127627,4655.126480127627,4655.126480127627,2805.9788900629414,6504.274070192312,4795.8447,4782.778,4808.9116,2557.9033,7033.786,Train,2020-2021,24
2015-11-01,4377.0,4714.617871971588,4714.617871971587,4714.617871971589,2865.470281906903,6563.765462036274,4813.162,4801.3716,4824.9526,2575.2207,7051.1035,Train,2020-2021,24
2015-12-01,4484.0,4384.696348981123,4384.696348981122,4384.696348981124,2535.548758916438,6233.843939045808,4707.8506,4684.3574,4731.3438,2469.9092,6945.792,Train,2020-2021,24
2016-01-01,4911.0,6899.824116236392,6899.824116236392,6899.824116236392,5050.676526171706,8748.971706301078,4658.337,4633.973,4682.7007,2420.3955,6896.2783,Train,2020-2021,24
2016-02-01,5218.0,4762.209428552928,4762.209428552927,4762.209428552929,2913.061838488243,6611.357018617613,4751.341,4741.6333,4761.0483,2513.3994,6989.282,Train,2020-2021,24
2016-03-01,5759.0,5586.840700357107,5586.8407003571065,5586.840700357108,3737.6931102924223,7435.988290421792,5028.1396,4995.791,5060.4883,2790.1982,7266.081,Train,2020-2021,24
2016-04-01,5456.0,5469.543000991934,5469.543000991933,5469.543000991935,3620.3954109272486,7318.690591056618,5421.582,5397.7197,5445.4443,3183.6406,7659.5234,Train,2020-2021,24
2016-05-01,5359.0,5595.632798144456,5595.632798144456,5595.632798144456,3746.4852080797705,7444.780388209141,5561.8096,5546.4756,5577.1436,3323.8682,7799.751,Train,2020-2021,24
2016-06-01,5305.0,5156.869959575762,5156.869959575761,5156.869959575763,3307.7223695110765,7006.017549640446,5583.4976,5567.97,5599.025,3345.5562,7821.439,Train,2020-2021,24
2016-07-01,5769.0,5535.2236753988345,5535.223675398834,5535.223675398835,3686.0760853341494,7384.37126546352,5456.529,5439.825,5473.2324,3218.5874,7694.47,Train,2020-2021,24
