Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Seq2Seq+Attention_Mean,Seq2Seq+Attention_CI_Lower,Seq2Seq+Attention_CI_Upper,Seq2Seq+Attention_PI_Lower,Seq2Seq+Attention_PI_Upper,Dataset,Horizon,Horizon_Months
2015-06-01,4369.0,4019.0132157287394,4019.0132157287394,4019.0132157287394,2482.0665512121705,5555.959880245308,4761.0503,4717.5737,4804.527,3351.9473,6170.1533,Train,2020,12
2015-07-01,4672.0,3910.9735683921876,3910.9735683921876,3910.9735683921876,2374.0269038756187,5447.920232908757,4681.7314,4633.458,4730.005,3272.6284,6090.8345,Train,2020,12
2015-08-01,4661.0,4040.017556773143,4040.0175567731426,4040.0175567731435,2503.0708922565746,5576.9642212897115,4766.378,4722.255,4810.501,3357.275,6175.481,Train,2020,12
2015-09-01,4655.0,4081.333303032528,4081.333303032528,4081.333303032528,2544.386638515959,5618.279967549097,4764.5835,4721.9214,4807.2456,3355.4805,6173.6865,Train,2020,12
2015-10-01,4716.0,4093.180929257304,4093.180929257304,4093.180929257304,2556.234264740735,5630.127593773873,4795.734,4753.261,4838.2065,3386.6309,6204.837,Train,2020,12
2015-11-01,4377.0,4131.5119828039105,4131.51198280391,4131.511982803911,2594.565318287342,5668.458647320479,4820.87,4779.139,4862.601,3411.767,6229.973,Train,2020,12
2015-12-01,4484.0,3956.790228189663,3956.7902281896627,3956.7902281896636,2419.8435636730946,5493.736892706232,4755.0986,4706.0146,4804.1826,3345.9956,6164.2017,Train,2020,12
2016-01-01,4911.0,8291.63726307644,8291.63726307644,8291.63726307644,6754.690598559871,9828.583927593008,4722.563,4674.1973,4770.9287,3313.46,6131.666,Train,2020,12
2016-02-01,5218.0,4492.581348330698,4492.581348330697,4492.581348330699,2955.63468381413,6029.528012847267,4843.544,4802.713,4884.375,3434.441,6252.647,Train,2020,12
2016-03-01,5759.0,5577.917834708549,5577.917834708548,5577.91783470855,4040.9711701919805,7114.8644992251175,5024.1924,4981.228,5067.1567,3615.0894,6433.2954,Train,2020,12
2016-04-01,5456.0,5289.123440345153,5289.123440345153,5289.123440345153,3752.176775828584,6826.070104861721,5305.7026,5256.9155,5354.4897,3896.5996,6714.8057,Train,2020,12
2016-05-01,5359.0,5523.155509555043,5523.155509555043,5523.155509555043,3986.2088450384745,7060.102174071611,5434.6816,5395.917,5473.4463,4025.5786,6843.7847,Train,2020,12
2016-06-01,5305.0,5003.910662847536,5003.910662847535,5003.9106628475365,3466.963998330967,6540.857327364104,5511.757,5473.3784,5550.1353,4102.654,6920.86,Train,2020,12
2016-07-01,5769.0,5496.608416022239,5496.608416022238,5496.60841602224,3959.6617515056705,7033.5550805388075,5533.5537,5491.191,5575.9165,4124.4507,6942.6567,Train,2020,12
2016-08-01,5565.0,5641.626810166473,5641.626810166472,5641.626810166474,4104.680145649904,7178.573474683041,5662.827,5621.711,5703.9434,4253.724,7071.93,Train,2020,12
2016-09-01,5367.0,5462.428686348581,5462.42868634858,5462.428686348582,3925.482021832013,6999.37535086515,5641.6094,5600.955,5682.2637,4232.5063,7050.7124,Train,2020,12
2016-10-01,5633.0,5355.390244738751,5355.390244738751,5355.390244738751,3818.4435802221824,6892.336909255319,5596.501,5554.2646,5638.7373,4187.398,7005.604,Train,2020,12
2016-11-01,5664.0,5236.751923444665,5236.751923444665,5236.751923444665,3699.805258928097,6773.698587961234,5653.875,5611.796,5695.954,4244.772,7062.978,Train,2020,12
2016-12-01,6082.0,5731.276925811703,5731.276925811702,5731.276925811704,4194.330261295135,7268.223590328272,5711.653,5668.172,5755.134,4302.55,7120.756,Train,2020,12
2017-01-01,6505.0,6624.136506141762,6624.13650614176,6624.136506141764,5087.189841625193,8161.08317065833,5826.5044,5781.666,5871.343,4417.4014,7235.6074,Train,2020,12
2017-02-01,5813.0,6633.904089043668,6633.904089043667,6633.904089043669,5096.9574245271,8170.850753560237,6039.3413,5986.4062,6092.2764,4630.2383,7448.4443,Train,2020,12
2017-03-01,6379.0,6299.129305080895,6299.1293050808945,6299.129305080896,4762.182640564327,7836.075969597464,6019.8257,5967.0327,6072.6187,4610.7227,7428.9287,Train,2020,12
2017-04-01,6091.0,6016.992350166715,6016.9923501667145,6016.992350166716,4480.045685650147,7553.939014683284,6160.6104,6105.3013,6215.9194,4751.5073,7569.7134,Train,2020,12
2017-05-01,6219.0,5965.141950753438,5965.141950753437,5965.141950753439,4428.19528623687,7502.088615270007,6185.8096,6126.252,6245.367,4776.7065,7594.9126,Train,2020,12
2017-06-01,6052.0,6074.479948771217,6074.479948771216,6074.479948771218,4537.533284254649,7611.426613287786,6211.146,6151.4507,6270.8413,4802.043,7620.249,Train,2020,12
2017-07-01,6105.0,6437.901968526436,6437.901968526436,6437.901968526436,4900.955304009867,7974.848633043004,6139.3604,6081.476,6197.2446,4730.2573,7548.4634,Train,2020,12
2017-08-01,6030.0,5886.04844388808,5886.04844388808,5886.04844388808,4349.101779371512,7422.995108404649,6168.344,6108.2065,6228.482,4759.241,7577.4473,Train,2020,12
2017-09-01,5969.0,5808.598590951545,5808.598590951544,5808.598590951546,4271.651926434976,7345.545255468113,6117.175,6059.234,6175.1157,4708.072,7526.278,Train,2020,12
2017-10-01,5707.0,6165.28177173888,6165.281771738879,6165.281771738881,4628.335107222311,7702.228436255448,6087.3296,6029.3843,6145.275,4678.2266,7496.4326,Train,2020,12
2017-11-01,5681.0,5691.107183724431,5691.107183724431,5691.107183724431,4154.160519207862,7228.053848240999,5979.4307,5921.5024,6037.359,4570.3276,7388.5337,Train,2020,12
2017-12-01,6052.0,6059.330803791788,6059.330803791787,6059.330803791789,4522.384139275219,7596.277468308356,5910.081,5853.8257,5966.3364,4500.978,7319.184,Train,2020,12
2018-01-01,5904.0,6466.304232323243,6466.304232323242,6466.304232323244,4929.3575678066745,8003.2508968398115,5955.854,5905.5786,6006.1294,4546.751,7364.957,Train,2020,12
2018-02-01,5426.0,5339.989561304121,5339.98956130412,5339.989561304122,3803.0428967875523,6876.936225820689,5943.355,5893.593,5993.117,4534.252,7352.458,Train,2020,12
2018-03-01,6005.0,6014.601761580031,6014.601761580031,6014.601761580031,4477.655097063463,7551.5484260965995,5802.3574,5749.999,5854.716,4393.2544,7211.4604,Train,2020,12
2018-04-01,5766.0,5739.385281614529,5739.385281614528,5739.38528161453,4202.438617097961,7276.3319461310975,5893.6826,5844.9673,5942.398,4484.5796,7302.7856,Train,2020,12
2018-05-01,5946.0,5892.827662404123,5892.827662404122,5892.827662404124,4355.880997887554,7429.774326920691,5891.9414,5841.751,5942.132,4482.8384,7301.0444,Train,2020,12
2018-06-01,5981.0,5804.111875426256,5804.111875426255,5804.111875426257,4267.165210909688,7341.058539942825,5905.8955,5857.737,5954.054,4496.7925,7314.9985,Train,2020,12
2018-07-01,6104.0,6072.722326955382,6072.7223269553815,6072.722326955383,4535.775662438814,7609.668991471951,5932.867,5884.2515,5981.483,4523.764,7341.97,Train,2020,12
2018-08-01,5991.0,6014.555658397906,6014.555658397906,6014.555658397906,4477.6089938813375,7551.5023229144745,6034.966,5983.093,6086.839,4625.863,7444.069,Train,2020,12
2018-09-01,5670.0,5916.752688999301,5916.752688999301,5916.752688999301,4379.806024482733,7453.69935351587,6027.1763,5974.584,6079.7686,4618.073,7436.2793,Train,2020,12
2018-10-01,5709.0,5475.946079768534,5475.946079768533,5475.946079768535,3938.9994152519657,7012.892744285103,5957.2856,5900.662,6013.909,4548.1826,7366.3887,Train,2020,12
2018-11-01,5416.0,5687.687115282477,5687.687115282476,5687.687115282478,4150.7404507659085,7224.633779799045,5909.25,5853.726,5964.774,4500.147,7318.353,Train,2020,12
2018-12-01,5793.0,5811.278215129182,5811.278215129182,5811.278215129182,4274.331550612614,7348.224879645751,5788.506,5732.5576,5844.454,4379.403,7197.609,Train,2020,12
2019-01-01,5750.0,5718.458649500855,5718.458649500855,5718.458649500855,4181.511984984287,7255.405314017424,5792.528,5745.38,5839.676,4383.425,7201.631,Train,2020,12
2019-02-01,5399.0,5267.738013640288,5267.738013640287,5267.738013640289,3730.7913491237196,6804.6846781568565,5779.839,5735.0215,5824.6562,4370.736,7188.942,Train,2020,12
2019-03-01,6123.0,5981.557058528465,5981.557058528465,5981.557058528465,4444.6103940118965,7518.503723045033,5696.46,5649.5464,5743.3735,4287.357,7105.563,Train,2020,12
2019-04-01,5730.0,5873.147123087458,5873.147123087457,5873.147123087459,4336.200458570889,7410.093787604026,5839.007,5793.9277,5884.086,4429.904,7248.11,Train,2020,12
2019-05-01,6015.0,5910.126560974204,5910.126560974204,5910.126560974204,4373.179896457636,7447.0732254907725,5853.445,5806.01,5900.88,4444.342,7262.548,Train,2020,12
2019-06-01,5989.0,6027.729960717401,6027.7299607174,6027.729960717402,4490.783296200832,7564.676625233969,5915.0444,5867.207,5962.882,4505.9414,7324.1475,Train,2020,12
2019-07-01,6333.0,6105.314685839513,6105.314685839513,6105.314685839513,4568.3680213229445,7642.2613503560815,5954.3745,5905.0195,6003.7295,4545.2715,7363.4775,Train,2020,12
2019-08-01,6388.0,6206.31918870199,6206.319188701989,6206.319188701991,4669.372524185422,7743.265853218559,6119.2812,6066.034,6172.5283,4710.178,7528.3843,Train,2020,12
2019-09-01,6048.0,6061.810489751041,6061.81048975104,6061.810489751042,4524.863825234473,7598.75715426761,6187.8,6132.519,6243.0806,4778.697,7596.903,Train,2020,12
2019-10-01,6322.0,6032.306352190003,6032.306352190003,6032.306352190003,4495.359687673435,7569.2530167065715,6180.6123,6121.5503,6239.6743,4771.5093,7589.7153,Train,2020,12
2019-11-01,6405.0,6007.895229225046,6007.895229225046,6007.895229225046,4470.9485647084775,7544.8418937416145,6238.8467,6179.1865,6298.507,4829.7437,7647.9497,Train,2020,12
2019-12-01,6523.0,6708.759713084553,6708.759713084553,6708.759713084553,5171.813048567985,8245.706377601122,6310.1777,6249.0537,6371.302,4901.0747,7719.281,Train,2020,12
2020-01-01,6732.0,6416.927545310796,6416.927545310795,6416.927545310797,4879.980880794227,7953.874209827364,6363.5317,6302.1875,6424.876,4954.4287,7772.635,Test,2020,12
2020-02-01,6587.0,6004.795253494615,6004.795253494614,6004.795253494616,4467.848588978047,7541.741918011184,6348.8506,6269.576,6428.125,4939.7476,7757.9536,Test,2020,12
2020-03-01,7438.0,6669.677165122628,6669.677165122628,6669.677165122628,5132.73050060606,8206.623829639197,6371.557,6272.877,6470.2373,4962.454,7780.66,Test,2020,12
2020-04-01,8138.0,6249.118032373132,6249.118032373131,6249.118032373133,4712.171367856564,7786.064696889701,6375.9976,6259.303,6492.692,4966.8945,7785.1006,Test,2020,12
