Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Seq2Seq_Mean,Seq2Seq_CI_Lower,Seq2Seq_CI_Upper,Seq2Seq_PI_Lower,Seq2Seq_PI_Upper,Dataset,Horizon,Horizon_Months
2015-08-01,4661.0,4040.017556773143,4040.0175567731426,4040.0175567731435,1891.3686784079055,6188.666435138381,4814.9014,4788.0703,4841.7324,2534.0571,7095.7456,Train,2020-2021,24
2015-09-01,4655.0,4081.333303032528,4081.333303032528,4081.333303032528,1932.6844246672904,6229.982181397765,4846.501,4819.7314,4873.2705,2565.6567,7127.345,Train,2020-2021,24
2015-10-01,4716.0,4093.180929257304,4093.180929257304,4093.180929257304,1944.5320508920663,6241.829807622542,4868.164,4841.134,4895.1943,2587.3198,7149.0083,Train,2020-2021,24
2015-11-01,4377.0,4131.5119828039105,4131.51198280391,4131.511982803911,1982.863104438673,6280.160861169148,4896.9346,4869.8887,4923.9805,2616.0903,7177.779,Train,2020-2021,24
2015-12-01,4484.0,3956.790228189663,3956.7902281896627,3956.7902281896636,1808.1413498244256,6105.439106554901,4819.122,4791.6245,4846.6196,2538.2778,7099.9663,Train,2020-2021,24
2016-01-01,4911.0,8291.63726307644,8291.63726307644,8291.63726307644,6142.988384711202,10440.286141441677,4787.152,4759.484,4814.82,2506.3076,7067.996,Train,2020-2021,24
2016-02-01,5218.0,4492.581348330698,4492.581348330697,4492.581348330699,2343.9324699654608,6641.230226695936,4894.446,4866.6206,4922.271,2613.6016,7175.29,Train,2020-2021,24
2016-03-01,5759.0,5577.917834708549,5577.917834708548,5577.91783470855,3429.2689563433114,7726.566713073787,5069.9077,5038.932,5100.8833,2789.0635,7350.752,Train,2020-2021,24
2016-04-01,5456.0,5289.123440345153,5289.123440345153,5289.123440345153,3140.474561979915,7437.77231871039,5359.934,5320.383,5399.4854,3079.0898,7640.7783,Train,2020-2021,24
2016-05-01,5359.0,5523.155509555043,5523.155509555043,5523.155509555043,3374.5066311898054,7671.8043879202805,5472.822,5435.315,5510.3286,3191.9775,7753.666,Train,2020-2021,24
2016-06-01,5305.0,5003.910662847536,5003.910662847535,5003.9106628475365,2855.261784482298,7152.559541212773,5500.158,5465.1636,5535.153,3219.314,7781.0024,Train,2020-2021,24
2016-07-01,5769.0,5496.608416022239,5496.608416022238,5496.60841602224,3347.9595376570014,7645.257294387477,5488.665,5453.802,5523.5283,3207.8208,7769.5093,Train,2020-2021,24
2016-08-01,5565.0,5641.626810166473,5641.626810166472,5641.626810166474,3492.977931801235,7790.27568853171,5613.6514,5576.299,5651.004,3332.8071,7894.4956,Train,2020-2021,24
2016-09-01,5367.0,5462.428686348581,5462.42868634858,5462.428686348582,3313.7798079833437,7611.077564713819,5642.5947,5604.8936,5680.296,3361.7505,7923.439,Train,2020-2021,24
2016-10-01,5633.0,5355.390244738751,5355.390244738751,5355.390244738751,3206.7413663735133,7504.0391231039885,5593.13,5555.5903,5630.6694,3312.2856,7873.974,Train,2020-2021,24
2016-11-01,5664.0,5236.751923444665,5236.751923444665,5236.751923444665,3088.103045079428,7385.400801809903,5631.29,5593.599,5668.981,3350.4458,7912.1343,Train,2020-2021,24
2016-12-01,6082.0,5731.276925811703,5731.276925811702,5731.276925811704,3582.6280474464656,7879.925804176941,5674.1772,5635.9463,5712.408,3393.333,7955.0215,Train,2020-2021,24
2017-01-01,6505.0,6624.136506141762,6624.13650614176,6624.136506141764,4475.487627776524,8772.785384506999,5833.465,5792.2847,5874.645,3552.6206,8114.309,Train,2020-2021,24
2017-02-01,5813.0,6633.904089043668,6633.904089043667,6633.904089043669,4485.255210678431,8782.552967408905,6081.697,6034.5947,6128.799,3800.8525,8362.541,Train,2020-2021,24
2017-03-01,6379.0,6299.129305080895,6299.1293050808945,6299.129305080896,4150.480426715658,8447.778183446133,6034.209,5991.202,6077.216,3753.3647,8315.053,Train,2020-2021,24
