Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,TCN_Mean,TCN_CI_Lower,TCN_CI_Upper,TCN_PI_Lower,TCN_PI_Upper,Dataset,Horizon,Horizon_Months
2015-09-01,4655.0,4661.406672415176,4661.406672415175,4661.406672415177,2686.3512055974384,6636.462139232914,4541.41,4398.819,4684.0015,2766.9534,6315.867,Train,2020-2022,36
2015-10-01,4716.0,4655.126480127627,4655.126480127627,4655.126480127627,2680.0710133098887,6630.181946945364,4636.7437,4473.8657,4799.6216,2862.2869,6411.2,Train,2020-2022,36
2015-11-01,4377.0,4714.617871971588,4714.617871971587,4714.617871971589,2739.5624051538502,6689.6733387893255,4596.107,4439.488,4752.726,2821.6501,6370.5635,Train,2020-2022,36
2015-12-01,4484.0,4384.696348981123,4384.696348981122,4384.696348981124,2409.6408821633854,6359.751815798862,4434.382,4270.4854,4598.2783,2659.925,6208.839,Train,2020-2022,36
2016-01-01,4911.0,6899.824116236392,6899.824116236392,6899.824116236392,4924.768649418655,8874.87958305413,4426.536,4250.9404,4602.132,2652.0793,6200.993,Train,2020-2022,36
2016-02-01,5218.0,4762.209428552928,4762.209428552927,4762.209428552929,2787.1539617351905,6737.264895370667,4765.163,4609.6255,4920.7007,2990.7063,6539.62,Train,2020-2022,36
2016-03-01,5759.0,5586.840700357107,5586.8407003571065,5586.840700357108,3611.7852335393695,7561.896167174846,5077.161,4908.385,5245.9375,3302.7043,6851.618,Train,2020-2022,36
2016-04-01,5456.0,5469.543000991934,5469.543000991933,5469.543000991935,3494.487534174196,7444.598467809672,5512.1553,5298.217,5726.0938,3737.6985,7286.6123,Train,2020-2022,36
2016-05-01,5359.0,5595.632798144456,5595.632798144456,5595.632798144456,3620.5773313267177,7570.688264962193,5422.587,5208.8613,5636.3125,3648.1301,7197.044,Train,2020-2022,36
2016-06-01,5305.0,5156.869959575762,5156.869959575761,5156.869959575763,3181.814492758024,7131.9254263935,5362.0513,5120.191,5603.9116,3587.5945,7136.508,Train,2020-2022,36
2016-07-01,5769.0,5535.2236753988345,5535.223675398834,5535.223675398835,3560.1682085810967,7510.279142216572,5292.994,5059.4824,5526.506,3518.5374,7067.451,Train,2020-2022,36
2016-08-01,5565.0,5751.5338033430135,5751.533803343013,5751.533803343014,3776.4783365252756,7726.589270160752,5679.1455,5450.439,5907.852,3904.6887,7453.6025,Train,2020-2022,36
2016-09-01,5367.0,5569.408740394357,5569.408740394357,5569.408740394357,3594.353273576619,7544.464207212095,5496.9844,5318.915,5675.0537,3722.5276,7271.4414,Train,2020-2022,36
2016-10-01,5633.0,5422.150054380678,5422.150054380677,5422.150054380679,3447.09458756294,7397.205521198415,5361.126,5163.112,5559.14,3586.6692,7135.583,Train,2020-2022,36
2016-11-01,5664.0,5357.016189351527,5357.016189351526,5357.016189351528,3381.960722533789,7332.071656169264,5494.14,5302.139,5686.141,3719.6833,7268.5967,Train,2020-2022,36
2016-12-01,6082.0,5720.584077650826,5720.584077650826,5720.584077650826,3745.528610833088,7695.639544468564,5622.895,5433.1255,5812.6646,3848.4382,7397.3516,Train,2020-2022,36
2017-01-01,6505.0,7064.979816460045,7064.979816460044,7064.979816460046,5089.924349642308,9040.035283277783,5890.429,5672.2256,6108.633,4115.9727,7664.8857,Train,2020-2022,36
2017-02-01,5813.0,6617.3485603628815,6617.348560362881,6617.348560362882,4642.293093545144,8592.404027180619,6304.852,6078.631,6531.073,4530.3955,8079.3086,Train,2020-2022,36
2017-03-01,6379.0,6327.2422971491615,6327.2422971491615,6327.2422971491615,4352.186830331424,8302.297763966899,5887.261,5669.0376,6105.485,4112.8047,7661.718,Train,2020-2022,36
2017-04-01,6091.0,6079.626160975285,6079.626160975284,6079.6261609752855,4104.570694157546,8054.681627793023,6215.6123,5942.226,6488.9985,4441.1553,7990.0693,Train,2020-2022,36
2017-05-01,6219.0,6094.638202705189,6094.638202705189,6094.638202705189,4119.58273588745,8069.693669522927,6097.46,5880.917,6314.003,4323.003,7871.917,Train,2020-2022,36
2017-06-01,6052.0,6090.939190626028,6090.939190626028,6090.939190626028,4115.883723808291,8065.994657443765,6190.9194,5932.6963,6449.1426,4416.463,7965.376,Train,2020-2022,36
2017-07-01,6105.0,6422.361091399268,6422.361091399268,6422.361091399268,4447.30562458153,8397.416558217006,5939.3916,5734.5425,6144.2407,4164.9346,7713.8486,Train,2020-2022,36
2017-08-01,6030.0,5999.032302168206,5999.032302168206,5999.032302168206,4023.9768353504683,7974.087768985944,6106.401,5886.102,6326.6997,4331.9443,7880.8574,Train,2020-2022,36
2017-09-01,5969.0,5912.376100839152,5912.376100839152,5912.376100839152,3937.320634021414,7887.4315676568895,5917.9893,5723.4546,6112.524,4143.532,7692.4463,Train,2020-2022,36
2017-10-01,5707.0,6139.177723255214,6139.177723255213,6139.177723255215,4164.122256437477,8114.233190072951,5950.266,5744.8457,6155.6865,4175.8096,7724.7227,Train,2020-2022,36
2017-11-01,5681.0,5630.112178760209,5630.112178760208,5630.11217876021,3655.056711942471,7605.167645577947,5680.818,5490.8374,5870.7983,3906.361,7455.2744,Train,2020-2022,36
2017-12-01,6052.0,5948.060635920198,5948.0606359201975,5948.060635920199,3973.0051691024605,7923.116102737937,5653.77,5451.3027,5856.2373,3879.3132,7428.2266,Train,2020-2022,36
2018-01-01,5904.0,6813.856842262458,6813.856842262457,6813.8568422624585,4838.80137544472,8788.912309080195,5892.335,5707.175,6077.495,4117.878,7666.792,Train,2020-2022,36
2018-02-01,5426.0,5575.215556047499,5575.2155560474985,5575.2155560475,3600.1600892297615,7550.271022865238,5847.767,5673.9077,6021.6265,4073.3103,7622.2236,Train,2020-2022,36
2018-03-01,6005.0,5979.405474600747,5979.405474600747,5979.405474600747,4004.350007783009,7954.460941418485,5453.0464,5267.677,5638.416,3678.5896,7227.503,Train,2020-2022,36
2018-04-01,5766.0,5698.739568918026,5698.739568918026,5698.739568918026,3723.684102100288,7673.795035735764,5824.008,5616.2764,6031.7393,4049.551,7598.465,Train,2020-2022,36
2018-05-01,5946.0,5843.610855974663,5843.610855974662,5843.6108559746635,3868.555389156925,7818.6663227924,5758.473,5588.8936,5928.0527,3984.0164,7532.9297,Train,2020-2022,36
