Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,TCN_Mean,TCN_CI_Lower,TCN_CI_Upper,TCN_PI_Lower,TCN_PI_Upper,Dataset,Horizon,Horizon_Months
2015-08-01,4661.0,4040.017556773143,4040.0175567731426,4040.0175567731435,2484.1613964211456,5595.8737171251405,4552.204,4249.607,4854.8013,3238.1084,5866.3,Train,2020,12
2015-09-01,4655.0,4081.333303032528,4081.333303032528,4081.333303032528,2525.47714268053,5637.189463384526,4450.2607,4124.147,4776.3745,3136.165,5764.3564,Train,2020,12
2015-10-01,4716.0,4093.180929257304,4093.180929257304,4093.180929257304,2537.324768905306,5649.037089609302,4530.378,4222.056,4838.6997,3216.2822,5844.4736,Train,2020,12
2015-11-01,4377.0,4131.5119828039105,4131.51198280391,4131.511982803911,2575.655822451913,5687.368143155908,4527.0063,4184.823,4869.1895,3212.9106,5841.102,Train,2020,12
2015-12-01,4484.0,3956.790228189663,3956.7902281896627,3956.7902281896636,2400.9340678376657,5512.646388541661,4397.371,4102.1357,4692.6064,3083.2754,5711.467,Train,2020,12
2016-01-01,4911.0,8291.63726307644,8291.63726307644,8291.63726307644,6735.7811027244425,9847.493423428437,4409.877,4090.3425,4729.4116,3095.7812,5723.9727,Train,2020,12
2016-02-01,5218.0,4492.581348330698,4492.581348330697,4492.581348330699,2936.725187978701,6048.437508682696,4632.5986,4308.1313,4957.066,3318.503,5946.6943,Train,2020,12
2016-03-01,5759.0,5577.917834708549,5577.917834708548,5577.91783470855,4022.0616743565515,7133.773995060546,4868.06,4539.8306,5196.2896,3553.9644,6182.156,Train,2020,12
2016-04-01,5456.0,5289.123440345153,5289.123440345153,5289.123440345153,3733.267279993155,6844.97960069715,5234.4326,4844.1953,5624.67,3920.337,6548.5283,Train,2020,12
2016-05-01,5359.0,5523.155509555043,5523.155509555043,5523.155509555043,3967.2993492030455,7079.01166990704,5201.4673,4812.7197,5590.215,3887.3716,6515.563,Train,2020,12
2016-06-01,5305.0,5003.910662847536,5003.910662847535,5003.9106628475365,3448.054502495538,6559.766823199533,5246.122,4828.001,5664.243,3932.0264,6560.218,Train,2020,12
2016-07-01,5769.0,5496.608416022239,5496.608416022238,5496.60841602224,3940.7522556702415,7052.4645763742365,5200.9497,4790.635,5611.2646,3886.854,6515.0454,Train,2020,12
2016-08-01,5565.0,5641.626810166473,5641.626810166472,5641.626810166474,4085.7706498144753,7197.48297051847,5528.2812,5140.3057,5916.257,4214.1855,6842.377,Train,2020,12
2016-09-01,5367.0,5462.428686348581,5462.42868634858,5462.428686348582,3906.572525996584,7018.284846700579,5354.084,4973.67,5734.498,4039.9883,6668.1797,Train,2020,12
2016-10-01,5633.0,5355.390244738751,5355.390244738751,5355.390244738751,3799.5340843867534,6911.246405090748,5304.9316,4937.5967,5672.2666,3990.836,6619.0273,Train,2020,12
