Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Transformer_Mean,Transformer_CI_Lower,Transformer_CI_Upper,Transformer_PI_Lower,Transformer_PI_Upper,Dataset,Horizon,Horizon_Months
2015-08-01,4661.0,4040.017556773143,4040.0175567731426,4040.0175567731435,1672.043688531849,6407.9914250144375,5081.3022,5003.168,5159.4365,2172.4043,7990.2,Train,2020-2022,36
2015-09-01,4655.0,4081.333303032528,4081.333303032528,4081.333303032528,1713.359434791234,6449.307171273822,5079.4717,4995.3286,5163.6147,2170.5737,7988.3696,Train,2020-2022,36
2015-10-01,4716.0,4093.180929257304,4093.180929257304,4093.180929257304,1725.20706101601,6461.154797498598,5111.1787,5028.3564,5194.001,2202.2808,8020.0767,Train,2020-2022,36
2015-11-01,4377.0,4131.5119828039105,4131.51198280391,4131.511982803911,1763.5381145626166,6499.485851045205,5097.129,5015.697,5178.561,2188.231,8006.027,Train,2020-2022,36
2015-12-01,4484.0,3956.790228189663,3956.7902281896627,3956.7902281896636,1588.8163599483692,6324.764096430958,5081.139,4995.2275,5167.051,2172.2412,7990.037,Train,2020-2022,36
2016-01-01,4911.0,8291.63726307644,8291.63726307644,8291.63726307644,5923.663394835146,10659.611131317733,5082.712,5004.1147,5161.309,2173.814,7991.61,Train,2020-2022,36
2016-02-01,5218.0,4492.581348330698,4492.581348330697,4492.581348330699,2124.6074800894044,6860.555216571993,5135.0654,5059.1807,5210.95,2226.1675,8043.9634,Train,2020-2022,36
2016-03-01,5759.0,5577.917834708549,5577.917834708548,5577.91783470855,3209.943966467255,7945.8917029498425,5182.7334,5115.3394,5250.1274,2273.8354,8091.6313,Train,2020-2022,36
2016-04-01,5456.0,5289.123440345153,5289.123440345153,5289.123440345153,2921.1495721038586,7657.097308586446,5276.8193,5210.277,5343.362,2367.9214,8185.7173,Train,2020-2022,36
2016-05-01,5359.0,5523.155509555043,5523.155509555043,5523.155509555043,3155.181641313749,7891.1293777963365,5307.782,5240.512,5375.0522,2398.8843,8216.68,Train,2020-2022,36
2016-06-01,5305.0,5003.910662847536,5003.910662847535,5003.9106628475365,2635.9367946062416,7371.88453108883,5368.7153,5326.3457,5411.085,2459.8174,8277.613,Train,2020-2022,36
2016-07-01,5769.0,5496.608416022239,5496.608416022238,5496.60841602224,3128.634547780945,7864.582284263533,5451.5127,5422.6523,5480.373,2542.6147,8360.41,Train,2020-2022,36
2016-08-01,5565.0,5641.626810166473,5641.626810166472,5641.626810166474,3273.6529419251788,8009.600678407767,5595.372,5561.206,5629.538,2686.474,8504.27,Train,2020-2022,36
2016-09-01,5367.0,5462.428686348581,5462.42868634858,5462.428686348582,3094.4548181072873,7830.402554589875,5647.3984,5617.163,5677.634,2738.5005,8556.297,Train,2020-2022,36
2016-10-01,5633.0,5355.390244738751,5355.390244738751,5355.390244738751,2987.416376497457,7723.364112980045,5663.0913,5632.7114,5693.471,2754.1934,8571.989,Train,2020-2022,36
2016-11-01,5664.0,5236.751923444665,5236.751923444665,5236.751923444665,2868.7780552033714,7604.72579168596,5650.0957,5625.5747,5674.6167,2741.1978,8558.994,Train,2020-2022,36
2016-12-01,6082.0,5731.276925811703,5731.276925811702,5731.276925811704,3363.3030575704092,8099.250794052998,5664.465,5642.191,5686.739,2755.567,8573.363,Train,2020-2022,36
2017-01-01,6505.0,6624.136506141762,6624.13650614176,6624.136506141764,4256.162637900468,8992.110374383055,5742.706,5713.4585,5771.9536,2833.808,8651.604,Train,2020-2022,36
2017-02-01,5813.0,6633.904089043668,6633.904089043667,6633.904089043669,4265.930220802375,9001.877957284962,5830.352,5796.9556,5863.7485,2921.454,8739.25,Train,2020-2022,36
2017-03-01,6379.0,6299.129305080895,6299.1293050808945,6299.129305080896,3931.1554368396014,8667.10317332219,5804.279,5785.0977,5823.46,2895.3809,8713.177,Train,2020-2022,36
2017-04-01,6091.0,6016.992350166715,6016.9923501667145,6016.992350166716,3649.0184819254214,8384.96621840801,5883.574,5835.1714,5931.977,2974.6763,8792.473,Train,2020-2022,36
2017-05-01,6219.0,5965.141950753438,5965.141950753437,5965.141950753439,3597.1680825121443,8333.115818994733,5914.456,5881.138,5947.774,3005.558,8823.354,Train,2020-2022,36
