Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Transformer_Mean,Transformer_CI_Lower,Transformer_CI_Upper,Transformer_PI_Lower,Transformer_PI_Upper,Dataset,Horizon,Horizon_Months
2015-07-01,4672.0,4375.26905648758,4375.269056487579,4375.269056487581,3049.595194801999,5700.942918173161,5020.433,4914.0547,5126.8115,3355.2075,6685.6587,Train,2020,12
2015-08-01,4661.0,4665.007261546665,4665.007261546664,4665.007261546666,3339.3333998610838,5990.681123232247,5028.1113,4927.7764,5128.4463,3362.8857,6693.337,Train,2020,12
2015-09-01,4655.0,4661.406672415176,4661.406672415175,4661.406672415177,3335.732810729595,5987.080534100758,5051.2305,4947.7817,5154.679,3386.005,6716.456,Train,2020,12
2015-10-01,4716.0,4655.126480127627,4655.126480127627,4655.126480127627,3329.452618442045,5980.800341813208,5042.751,4947.817,5137.685,3377.5254,6707.9766,Train,2020,12
2015-11-01,4377.0,4714.617871971588,4714.617871971587,4714.617871971589,3388.9440102860067,6040.29173365717,5071.6577,4983.6396,5159.676,3406.4321,6736.8833,Train,2020,12
2015-12-01,4484.0,4384.696348981123,4384.696348981122,4384.696348981124,3059.022487295542,5710.370210666704,5050.6064,4949.2534,5151.9595,3385.3809,6715.832,Train,2020,12
2016-01-01,4911.0,6899.824116236392,6899.824116236392,6899.824116236392,5574.15025455081,8225.497977921974,5053.698,4946.14,5161.2563,3388.4727,6718.924,Train,2020,12
2016-02-01,5218.0,4762.209428552928,4762.209428552927,4762.209428552929,3436.535566867347,6087.883290238509,5076.6245,4982.7725,5170.4766,3411.399,6741.85,Train,2020,12
2016-03-01,5759.0,5586.840700357107,5586.8407003571065,5586.840700357108,4261.166838671526,6912.514562042688,5132.3,5054.403,5210.197,3467.0742,6797.5254,Train,2020,12
2016-04-01,5456.0,5469.543000991934,5469.543000991933,5469.543000991935,4143.869139306353,6795.216862677515,5269.167,5224.236,5314.098,3603.9414,6934.3926,Train,2020,12
2016-05-01,5359.0,5595.632798144456,5595.632798144456,5595.632798144456,4269.958936458874,6921.3066598300375,5382.199,5360.2974,5404.101,3716.9736,7047.425,Train,2020,12
2016-06-01,5305.0,5156.869959575762,5156.869959575761,5156.869959575763,3831.19609789018,6482.543821261343,5509.3496,5469.473,5549.226,3844.124,7174.575,Train,2020,12
2016-07-01,5769.0,5535.2236753988345,5535.223675398834,5535.223675398835,4209.549813713253,6860.897537084416,5595.555,5556.0405,5635.07,3930.3296,7260.781,Train,2020,12
2016-08-01,5565.0,5751.5338033430135,5751.533803343013,5751.533803343014,4425.8599416574325,7077.207665028594,5669.054,5630.899,5707.2095,4003.8286,7334.28,Train,2020,12
2016-09-01,5367.0,5569.408740394357,5569.408740394357,5569.408740394357,4243.734878708776,6895.082602079938,5685.907,5642.178,5729.636,4020.6816,7351.133,Train,2020,12
2016-10-01,5633.0,5422.150054380678,5422.150054380677,5422.150054380679,4096.476192695096,6747.82391606626,5661.9116,5621.135,5702.6885,3996.686,7327.137,Train,2020,12
2016-11-01,5664.0,5357.016189351527,5357.016189351526,5357.016189351528,4031.3423276659455,6682.690051037109,5693.359,5664.1196,5722.598,4028.1333,7358.5845,Train,2020,12
2016-12-01,6082.0,5720.584077650826,5720.584077650826,5720.584077650826,4394.910215965245,7046.257939336407,5717.4907,5678.835,5756.1465,4052.2651,7382.7163,Train,2020,12
2017-01-01,6505.0,7064.979816460045,7064.979816460044,7064.979816460046,5739.305954774463,8390.653678145627,5782.0625,5748.5176,5815.6074,4116.837,7447.288,Train,2020,12
2017-02-01,5813.0,6617.3485603628815,6617.348560362881,6617.348560362882,5291.6746986773,7943.022422048463,5865.706,5823.757,5907.6553,4200.4805,7530.9316,Train,2020,12
2017-03-01,6379.0,6327.2422971491615,6327.2422971491615,6327.2422971491615,5001.56843546358,7652.916158834743,5896.5747,5854.249,5938.9004,4231.349,7561.8003,Train,2020,12
2017-04-01,6091.0,6079.626160975285,6079.626160975284,6079.6261609752855,4753.952299289704,7405.300022660866,5978.0435,5923.394,6032.693,4312.818,7643.269,Train,2020,12
2017-05-01,6219.0,6094.638202705189,6094.638202705189,6094.638202705189,4768.964341019608,7420.31206439077,6004.8384,5963.8247,6045.852,4339.613,7670.064,Train,2020,12
2017-06-01,6052.0,6090.939190626028,6090.939190626028,6090.939190626028,4765.265328940446,7416.61305231161,6007.002,5963.998,6050.006,4341.7764,7672.2275,Train,2020,12
2017-07-01,6105.0,6422.361091399268,6422.361091399268,6422.361091399268,5096.687229713687,7748.034953084849,6014.7295,5982.065,6047.394,4349.504,7679.955,Train,2020,12
2017-08-01,6030.0,5999.032302168206,5999.032302168206,5999.032302168206,4673.358440482625,7324.706163853787,5996.991,5956.9336,6037.049,4331.7656,7662.217,Train,2020,12
2017-09-01,5969.0,5912.376100839152,5912.376100839152,5912.376100839152,4586.70223915357,7238.049962524734,5998.571,5967.2905,6029.851,4333.345,7663.7964,Train,2020,12
2017-10-01,5707.0,6139.177723255214,6139.177723255213,6139.177723255215,4813.503861569632,7464.851584940796,5973.4214,5944.6465,6002.1963,4308.196,7638.647,Train,2020,12
2017-11-01,5681.0,5630.112178760209,5630.112178760208,5630.11217876021,4304.438317074628,6955.78604044579,5943.4214,5919.94,5966.903,4278.196,7608.647,Train,2020,12
2017-12-01,6052.0,5948.060635920198,5948.0606359201975,5948.060635920199,4622.386774234617,7273.734497605779,5906.086,5881.964,5930.208,4240.8604,7571.3115,Train,2020,12
2018-01-01,5904.0,6813.856842262458,6813.856842262457,6813.8568422624585,5488.182980576876,8139.530703948039,5901.391,5877.749,5925.033,4236.1655,7566.6167,Train,2020,12
2018-02-01,5426.0,5575.215556047499,5575.2155560474985,5575.2155560475,4249.541694361918,6900.88941773308,5882.5205,5857.0166,5908.0244,4217.295,7547.746,Train,2020,12
2018-03-01,6005.0,5979.405474600747,5979.405474600747,5979.405474600747,4653.731612915166,7305.079336286328,5842.0703,5809.811,5874.3296,4176.8447,7507.296,Train,2020,12
2018-04-01,5766.0,5698.739568918026,5698.739568918026,5698.739568918026,4373.065707232445,7024.413430603607,5863.486,5837.5156,5889.456,4198.2603,7528.7114,Train,2020,12
2018-05-01,5946.0,5843.610855974663,5843.610855974662,5843.6108559746635,4517.936994289081,7169.2847176602445,5852.1533,5813.502,5890.8047,4186.9277,7517.379,Train,2020,12
2018-06-01,5981.0,5784.347348858907,5784.347348858907,5784.347348858907,4458.673487173326,7110.021210544488,5860.5034,5834.251,5886.756,4195.278,7525.729,Train,2020,12
2018-07-01,6104.0,6172.2512938969,6172.2512938969,6172.2512938969,4846.577432211319,7497.925155582481,5881.015,5863.0703,5898.96,4215.7896,7546.2407,Train,2020,12
2018-08-01,5991.0,6011.273621553612,6011.273621553612,6011.273621553612,4685.5997598680315,7336.947483239193,5905.7383,5871.702,5939.7744,4240.5127,7570.964,Train,2020,12
2018-09-01,5670.0,5905.972321501537,5905.9723215015365,5905.972321501538,4580.298459815956,7231.646183187118,5934.708,5916.765,5952.651,4269.4824,7599.9336,Train,2020,12
2018-10-01,5709.0,5607.717167184074,5607.717167184073,5607.717167184075,4282.043305498493,6933.391028869655,5914.83,5888.314,5941.346,4249.6045,7580.0557,Train,2020,12
2018-11-01,5416.0,5637.518087418205,5637.518087418205,5637.518087418205,4311.844225732624,6963.191949103786,5903.802,5880.8647,5926.739,4238.576,7569.0273,Train,2020,12
2018-12-01,5793.0,5762.875392061121,5762.87539206112,5762.875392061122,4437.20153037554,7088.549253746702,5846.879,5810.516,5883.2417,4181.6533,7512.1045,Train,2020,12
2019-01-01,5750.0,5887.130407117916,5887.130407117915,5887.130407117917,4561.456545432335,7212.804268803497,5821.2285,5789.731,5852.726,4156.003,7486.454,Train,2020,12
2019-02-01,5399.0,5361.820505674964,5361.820505674963,5361.820505674965,4036.1466439893825,6687.494367360545,5797.7646,5762.334,5833.1953,4132.539,7462.99,Train,2020,12
2019-03-01,6123.0,5966.125379999599,5966.125379999598,5966.1253799996,4640.451518314017,7291.799241685181,5749.3203,5710.659,5787.9814,4084.0947,7414.546,Train,2020,12
2019-04-01,5730.0,5853.500185744103,5853.500185744103,5853.500185744103,4527.826324058522,7179.174047429684,5805.8237,5775.8223,5835.825,4140.598,7471.0493,Train,2020,12
2019-05-01,6015.0,5854.397180980232,5854.397180980232,5854.397180980232,4528.723319294651,7180.071042665813,5807.9595,5766.2134,5849.7056,4142.734,7473.185,Train,2020,12
2019-06-01,5989.0,5976.1807051169235,5976.1807051169235,5976.1807051169235,4650.506843431342,7301.854566802505,5852.804,5823.2075,5882.401,4187.5786,7518.03,Train,2020,12
2019-07-01,6333.0,6153.816206155919,6153.816206155919,6153.816206155919,4828.142344470338,7479.4900678415,5887.9834,5863.971,5911.9956,4222.758,7553.209,Train,2020,12
2019-08-01,6388.0,6205.540708931513,6205.540708931512,6205.540708931514,4879.866847245932,7531.214570617094,5931.551,5892.604,5970.4976,4266.325,7596.7764,Train,2020,12
2019-09-01,6048.0,6145.923999741461,6145.92399974146,6145.923999741462,4820.250138055879,7471.5978614270425,5989.389,5959.384,6019.3945,4324.1636,7654.6147,Train,2020,12
2019-10-01,6322.0,6055.889201542898,6055.889201542897,6055.889201542899,4730.215339857317,7381.563063228479,5992.4155,5955.4956,6029.3354,4327.19,7657.641,Train,2020,12
2019-11-01,6405.0,6140.470592509685,6140.470592509684,6140.470592509686,4814.796730824104,7466.144454195266,6036.6147,5988.6274,6084.602,4371.389,7701.8403,Train,2020,12
2019-12-01,6523.0,6776.260344783286,6776.260344783285,6776.260344783287,5450.586483097704,8101.934206468868,6053.462,6004.9536,6101.97,4388.2363,7718.6875,Train,2020,12
2020-01-01,6732.0,6547.088561760247,6547.088561760247,6547.088561760247,5221.414700074665,7872.762423445829,6067.1724,6013.251,6121.0938,4401.947,7732.398,Test,2020,12
