,,test_rmse,test_rmse,test_mae,test_mae
,,mean,std,mean,std
strategy,seed_config,,,,
independent,independent_123_200,3149.1991,139.7409,3046.0211,144.5959
independent,independent_321_500,3703.8397,258.2561,3616.2609,264.8771
independent,independent_42_100,3490.4061,231.229,3397.4153,237.2432
independent,independent_456_300,3979.2928,267.7422,3897.9779,273.025
independent,independent_789_400,3136.0536,316.336,3031.6438,326.704
shared,shared_123,3370.2569,269.7325,3273.627,277.9089
shared,shared_321,3539.4749,246.0162,3447.7409,252.6949
shared,shared_42,3529.1903,253.9186,3437.1948,260.2028
shared,shared_456,3915.4288,298.5294,3832.6135,305.3169
shared,shared_789,3144.3429,367.5062,3039.8616,379.65
