,,,val_rmse,val_rmse,val_rmse,val_rmse,val_mae,val_mae,final_loss,final_loss
,,,mean,std,min,max,mean,std,mean,std
seed1,seed2,seeding_approach,,,,,,,,
42,42,global_seed,789.77,119.8411,582.6463,994.1073,726.9185,122.7804,1684293.95,119685.7191
42,42,layer_specific_same,696.806,66.1386,528.4173,833.9217,630.2526,64.1993,1623385.1417,82526.9065
42,100,layer_specific_different,712.6316,88.368,558.0325,898.7492,646.8239,87.415,1684831.75,104284.9475
42,123,layer_specific_different,755.3672,87.0095,629.4822,1005.4724,689.6151,89.1349,1733116.3625,129519.1496
42,200,layer_specific_different,700.9132,80.1182,527.6247,839.2793,634.3596,78.784,1677286.1042,90160.0397
42,300,layer_specific_different,697.8893,94.5614,509.7096,901.6143,632.0819,93.4154,1651544.5708,135675.4765
42,321,layer_specific_different,768.6837,93.4353,628.1104,1041.8477,703.2413,96.4963,1666615.6625,110558.0225
42,400,layer_specific_different,668.5304,92.3576,510.7914,875.9278,603.4585,91.1447,1651385.3167,126482.5125
42,456,layer_specific_different,664.1446,71.928,532.7316,834.7789,599.3553,70.4993,1656841.35,117846.8043
42,500,layer_specific_different,709.6564,66.8089,600.3889,823.4364,643.2733,64.9403,1669289.4458,85794.2888
42,789,layer_specific_different,786.4137,60.5501,668.8022,914.3636,720.073,63.1058,1789383.1,159674.0738
100,42,layer_specific_different,403.4585,31.9339,330.382,477.1079,350.4614,27.8224,1513600.4833,60908.1418
100,100,global_seed,450.797,52.4823,338.3514,550.8394,391.3295,47.1592,1614841.9333,130134.018
100,100,layer_specific_same,468.6184,48.915,353.3305,552.111,406.4604,44.7395,1557356.4958,121738.3461
100,123,layer_specific_different,425.6431,33.2197,349.5012,491.5836,368.9797,27.2482,1537845.7708,98676.5165
100,200,layer_specific_different,390.7831,35.7172,338.7559,509.6799,339.7821,31.4159,1509088.7583,118604.3165
100,300,layer_specific_different,443.5652,35.5532,356.8758,508.5837,383.709,29.9443,1464045.8708,90805.6444
100,321,layer_specific_different,429.2541,40.1069,372.4023,523.7677,372.4958,33.5646,1462188.3542,89181.2524
100,400,layer_specific_different,447.2558,40.0297,378.17,551.8429,387.8605,35.4918,1568923.7458,90038.6273
100,456,layer_specific_different,456.1918,41.4043,393.5077,531.2351,396.2345,36.922,1376627.3167,70628.7769
100,500,layer_specific_different,469.1604,42.8675,378.6834,581.8293,406.6348,39.4816,1470578.2375,66540.1639
100,789,layer_specific_different,399.6683,40.6025,337.4262,475.5733,346.2576,34.967,1581995.9958,93958.4737
123,42,layer_specific_different,521.9391,48.9407,431.6658,608.6084,457.8185,49.7055,1773763.6667,77000.2692
