config,mean_rmse,median_rmse,std_rmse,cv_rmse,mean_median_diff,mean_median_ratio,rank_by_mean,rank_by_median,rank_difference
"order_(1, 1, 0)_seasonal_(2, 1, 1, 12)",306.3631444197291,306.3631444197292,5.78151716258171e-14,1.8871451308323215e-16,1.1368683772161603e-13,0.9999999999999997,1.0,1.0,0.0
"order_(0, 1, 1)_seasonal_(2, 1, 1, 12)",334.4226072741452,334.4226072741451,1.156303432516342e-13,3.457611439433742e-16,1.1368683772161603e-13,1.0000000000000004,2.0,2.0,0.0
"order_(1, 1, 1)_seasonal_(2, 1, 1, 12)",371.6952078991776,371.6952078991775,5.78151716258171e-14,1.5554457092032105e-16,1.1368683772161603e-13,1.0000000000000002,3.0,3.0,0.0
"order_(2, 1, 1)_seasonal_(2, 1, 1, 12)",386.6382326625078,386.6382326625077,1.156303432516342e-13,2.9906598334926347e-16,1.1368683772161603e-13,1.0000000000000002,4.0,4.0,0.0
"order_(2, 1, 2)_seasonal_(1, 1, 1, 12)",588.4103229383508,588.4103229383508,0.0,0.0,0.0,1.0,5.0,5.0,0.0
"order_(1, 1, 1)_seasonal_(1, 1, 1, 12)",675.873426475869,675.8734264758692,2.312606865032684e-13,3.4216567399180804e-16,2.2737367544323206e-13,0.9999999999999997,6.0,6.0,0.0
"order_(1, 1, 0)_seasonal_(1, 1, 1, 12)",688.2920213867661,688.2920213867664,2.312606865032684e-13,3.3599210700906566e-16,2.2737367544323206e-13,0.9999999999999997,7.0,7.0,0.0
"order_(0, 1, 1)_seasonal_(1, 1, 1, 12)",700.5593699048598,700.55936990486,2.312606865032684e-13,3.3010861953737775e-16,2.2737367544323206e-13,0.9999999999999997,8.0,8.0,0.0
"order_(2, 1, 1)_seasonal_(1, 1, 1, 12)",734.149643819426,734.149643819426,0.0,0.0,0.0,1.0,9.0,9.0,0.0
"order_(2, 1, 2)_seasonal_(2, 1, 1, 12)",947.689958130028,947.689958130028,1.156303432516342e-13,1.2201284002185146e-16,0.0,1.0,10.0,10.0,0.0
"order_(0, 1, 1)_seasonal_(1, 0, 1, 12)",12612622807177.232,12612622807177.23,0.001986514170764,1.575020676614202e-16,0.001953125,1.0000000000000002,11.0,11.0,0.0
"order_(2, 1, 2)_seasonal_(1, 0, 1, 12)",5069047868822523.0,5069047868822521.0,2.034190510862431,4.01296370344782e-16,2.0,1.0000000000000004,12.0,12.0,0.0
"order_(1, 1, 0)_seasonal_(1, 0, 1, 12)",1.6046577719882506e+24,1.604657771988251e+24,546048857.3742297,3.4028991533668147e-16,536870912.0,0.9999999999999997,13.0,13.0,0.0
"order_(2, 1, 1)_seasonal_(1, 0, 1, 12)",8.590544689398819e+26,8.590544689398816e+26,279577014975.6056,3.2544736694125837e-16,274877906944.0,1.0000000000000002,14.0,14.0,0.0
"order_(1, 1, 1)_seasonal_(1, 0, 1, 12)",5.100843914178074e+56,5.100843914178075e+56,8.86014927109608e+40,1.7369967441012675e-16,8.711228593176025e+40,0.9999999999999998,15.0,15.0,0.0
