True,Pred
4369,5519.6313
4672,5519.6313
4661,5519.6313
4655,5519.6313
4716,5519.6313
4377,5519.6313
4484,5519.6313
4911,5519.6313
5218,5519.6313
5759,5519.6313
5456,5519.6313
5359,5519.6313
5305,5519.6313
5769,5519.6313
5565,5519.6313
5367,5519.6313
5633,5519.6313
5664,5519.6313
6082,5519.6313
6505,5519.6313
5813,5519.6313
6379,5519.6313
6091,5519.6313
6219,5519.6313
6052,5519.6313
6105,5519.6313
6030,5519.6313
5969,5519.6313
5707,5519.6313
5681,5519.6313
6052,5519.6313
5904,5519.6313
5426,5519.6313
6005,5519.6313
5766,5519.6313
5946,5519.6313
5981,5519.6313
6104,5519.6313
5991,5519.6313
5670,5519.6313
5709,5519.6313
5416,5519.6313
5793,5519.6313
