True,Pred
4377,4955.7393
4484,4844.367
4911,4819.99
5218,4971.065
5759,5174.497
5456,5490.159
5359,5548.631
5305,5534.327
5769,5500.4243
5565,5654.157
5367,5665.0215
5633,5592.783
5664,5649.852
6082,5695.24
6505,5875.9614
5813,6132.5684
6379,6015.2236
6091,6148.4097
6219,6117.094
6052,6142.9043
6105,6095.3267
6030,6087.319
5969,6056.236
5707,6016.7427
5681,5898.1733
6052,5823.0825
5904,5923.6123
5426,5928.466
6005,5751.171
5766,5866.608
5946,5847.2476
5981,5901.69
6104,5945.349
5991,6013.997
5670,6008.79
5709,5883.7275
5416,5826.7373
5793,5688.631
