True,Pred
4377,4856.341
4484,4645.112
4911,4662.993
5218,4942.493
5759,5231.564
5456,5556.204
5359,5543.9624
5305,5499.2524
5769,5470.162
5565,5664.9214
5367,5659.378
5633,5593.0376
5664,5688.2114
6082,5739.007
6505,5924.055
5813,6152.338
6379,5975.838
6091,6132.781
6219,6089.0825
6052,6122.5845
6105,6078.8203
6030,6091.832
5969,6071.748
5707,6044.5366
5681,5931.9233
6052,5871.601
5904,5998.5366
5426,5979.745
6005,5786.955
5766,5934.3237
5946,5894.1323
5981,5945.208
6104,5975.9526
5991,6034.4478
5670,6015.8784
5709,5886.142
5416,5849.4663
5793,5724.8105
