True,Pred
4672,4465.412
4661,4884.028
4655,4738.0073
4716,4818.2373
4377,4745.713
4484,4630.6704
4911,4562.385
5218,5050.249
5759,5375.832
5456,5718.518
5359,5681.5166
5305,5580.001
5769,5521.205
5565,6061.498
5367,5714.952
5633,5467.3203
5664,5714.2812
6082,6004.4897
6505,6150.721
5813,6607.681
6379,6151.5303
6091,6404.3926
6219,6500.252
6052,6441.2046
6105,6065.722
6030,6412.8965
5969,6134.269
5707,6173.913
5681,5841.6055
6052,5843.974
5904,6193.3545
5426,6122.682
6005,5536.6343
5766,6055.7026
5946,6168.825
5981,5998.9995
6104,6020.276
5991,6422.3994
5670,6096.3535
5709,5896.7373
5416,5839.705
5793,5661.8965
