config,mean_rmse,median_rmse,std_rmse,cv_rmse,mean_median_diff,mean_median_ratio,rank_by_mean,rank_by_median,rank_difference
lookback_7_bs_8_epochs_150,1509.7109663834965,1092.3265718170176,1455.7810022554092,0.9642779543045408,417.38439456647893,1.3821058695589414,13.0,1.0,12.0
lookback_8_bs_8_epochs_200,1301.4457281722696,1109.0784856902696,734.5847581987663,0.5644374884770692,192.36724248199994,1.1734478172320457,2.0,2.0,0.0
lookback_11_bs_32_epochs_200,1532.8277816176676,1140.525667926414,1037.620329310097,0.6769321001052355,392.3021136912537,1.343966054183153,16.0,3.0,13.0
lookback_9_bs_8_epochs_50,1511.8701933175844,1199.9289646885725,1280.816869183367,0.8471738346615567,311.9412286290119,1.2599664128534247,14.0,4.0,10.0
lookback_6_bs_8_epochs_200,1129.4979551077995,1207.679996644879,592.3736597358289,0.5244574875563123,78.18204153707961,0.9352626177842794,1.0,5.0,4.0
lookback_10_bs_8_epochs_100,1643.026212591621,1231.5143718270217,1483.8526009399284,0.9031216845891821,411.51184076459936,1.3341510665069203,31.0,6.0,25.0
lookback_9_bs_16_epochs_150,1345.559831882451,1268.6789198976808,611.9228166685789,0.454771911415112,76.88091198477014,1.0605991876896406,3.0,7.0,4.0
lookback_9_bs_8_epochs_150,1667.3952543295916,1272.3508230996786,1601.0493070453597,0.9602098260073868,395.044431229913,1.3104838886082635,33.0,8.0,25.0
lookback_6_bs_16_epochs_200,1393.084737935125,1288.721099103063,689.2901560206577,0.49479413365933916,104.36363883206218,1.0809823311690157,5.0,9.0,4.0
lookback_6_bs_32_epochs_100,1968.4387831513004,1293.7890114227253,2226.212883200032,1.130953577147092,674.6497717285752,1.5214526988343264,87.0,10.0,77.0
lookback_9_bs_32_epochs_150,1547.225138872342,1303.589416314068,1280.077665789004,0.8273376857888683,243.63572255827398,1.1868960575386998,17.0,11.0,6.0
lookback_12_bs_48_epochs_200,1725.5647720185286,1309.9477003421198,1497.1995299151574,0.8676576818172786,415.61707167640884,1.3172776070127548,38.0,12.0,26.0
lookback_10_bs_16_epochs_150,1856.4007178447075,1311.386426179963,1484.114081856896,0.7994578258836064,545.0142916647444,1.4156015959783554,65.0,13.0,52.0
lookback_7_bs_48_epochs_150,3186.168619258183,1322.8453816416295,9205.513148831398,2.88921091407104,1863.3232376165533,2.408572206151712,200.0,14.0,186.0
lookback_12_bs_32_epochs_200,1683.2848271616704,1323.153862748602,1288.7999598452598,0.7656458010249013,360.13096441306834,1.2721761803763052,35.0,15.0,20.0
lookback_8_bs_8_epochs_50,1971.833766724564,1328.4586932435654,1989.4536460017637,1.008935783317307,643.3750734809985,1.4843019032154727,88.0,16.0,72.0
lookback_3_bs_8_epochs_200,1385.2288863640342,1343.792415008524,900.2098952598516,0.6498636464496013,41.43647135551032,1.0308354704883846,4.0,17.0,13.0
lookback_5_bs_32_epochs_150,1802.5473689383289,1344.332032218023,2184.765119591685,1.2120431103447098,458.2153367203059,1.3408498241050562,52.0,18.0,34.0
lookback_10_bs_8_epochs_200,1452.775726784298,1355.704041221833,623.5105323302947,0.4291856759683258,97.07168556246506,1.0716024166122415,7.0,19.0,12.0
lookback_12_bs_32_epochs_150,2062.4942589686884,1365.6062208672229,1988.2593479691316,0.9640072156919959,696.8880381014656,1.510314047675405,96.0,20.0,76.0
lookback_11_bs_16_epochs_200,1551.054512090716,1365.9766533966856,821.5255649383733,0.5296561523366531,185.07785869403028,1.1354912312987262,19.0,21.0,2.0
lookback_18_bs_32_epochs_150,1846.648876774234,1375.4706719425212,1487.8766122295124,0.8057171186915443,471.1782048317127,1.3425577981726697,63.0,22.0,41.0
lookback_24_bs_16_epochs_150,1746.4478868536191,1386.97536592443,1309.1542985741148,0.7496097126222715,359.47252092918916,1.2591772930946021,39.0,23.0,16.0
lookback_10_bs_48_epochs_200,2002.0320275332087,1393.341205832546,1731.5006445968925,0.8648716008456419,608.6908217006628,1.436856973118052,91.0,24.0,67.0
lookback_18_bs_8_epochs_100,1708.210221273287,1406.5543427841735,1076.3403915680635,0.6300983205484905,301.65587848911355,1.214464432203883,36.0,25.0,11.0
lookback_6_bs_32_epochs_200,1785.2932340908014,1420.9559940266663,1346.6228468232664,0.7542866466466293,364.33724006413513,1.256402901705412,48.0,26.0,22.0
lookback_11_bs_32_epochs_150,1598.5687691017224,1426.2046192973912,1070.4856239227624,0.66965253207361,172.3641498043312,1.1208551335987433,25.0,27.0,2.0
lookback_11_bs_48_epochs_200,1927.68527592044,1426.7564267623152,1526.173189796864,0.7917128427866109,500.9288491581249,1.3510962626570142,78.0,28.0,50.0
lookback_11_bs_16_epochs_100,1947.002455991921,1430.3326302124435,1460.651428780796,0.7502052317836712,516.6698257794774,1.3612235467932643,83.0,29.0,54.0
lookback_9_bs_48_epochs_150,2499.7534143972816,1431.599337634209,5572.362139332611,2.2291647277042204,1068.1540767630727,1.7461264116874011,166.0,30.0,136.0
lookback_9_bs_16_epochs_200,1415.8112421505816,1441.9118394183245,726.5510349785387,0.5131694207166528,26.10059726774284,0.9818986178251564,6.0,31.0,25.0
lookback_12_bs_8_epochs_100,1460.461913104426,1470.7441763964794,985.629477235699,0.6748751668166403,10.282263292053358,0.9930088023076546,8.0,32.0,24.0
lookback_5_bs_48_epochs_200,1493.6849487863844,1480.144783652249,920.911803292912,0.6165368433558568,13.54016513413535,1.0091478653194488,9.0,33.0,24.0
lookback_18_bs_48_epochs_150,2008.5657873921996,1480.3226484814022,1348.163871137544,0.6712072263701746,528.2431389107974,1.356843245932026,92.0,34.0,58.0
lookback_9_bs_48_epochs_100,1797.753517397584,1487.1384910168006,1346.4027760845722,0.7489362490769124,310.6150263807833,1.2088675858079678,50.0,35.0,15.0
lookback_2_bs_8_epochs_200,1863.3643061077148,1502.2962567619534,1383.6830730828694,0.7425724902787117,361.06804934576144,1.2403441050462356,66.0,36.0,30.0
lookback_12_bs_8_epochs_150,1587.4809827383397,1503.4754388843844,819.6345595640572,0.5163114194604216,84.00554385395526,1.055874237570711,23.0,37.0,14.0
