True,Pred
4462,4784.3384
4642,4693.2544
4369,4733.3833
4672,4584.989
4661,4704.9985
4655,4714.1973
4716,4758.4116
4377,4792.3174
4484,4662.3154
4911,4612.4795
5218,4839.104
5759,5149.0303
5456,5560.94
5359,5584.8804
5305,5554.802
5769,5449.88
5565,5655.085
5367,5626.0957
5633,5581.1094
5664,5633.869
6082,5654.243
6505,5856.7295
5813,6071.998
6379,6135.115
6091,6088.9565
6219,5989.8228
6052,6043.923
6105,5966.212
6030,5977.027
5969,5935.69
5707,5909.132
5681,5811.1196
6052,5741.9897
5904,5855.3623
5426,5840.2593
6005,5812.223
5766,5830.236
5946,5761.8384
5981,5857.432
6104,5864.134
5991,5937.2837
5670,5913.3296
5709,5829.5986
5416,5751.0293
5793,5625.8115
