lookback,batch_size,epochs,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std
3,16,50,300.47129702779824,8.467921824153606,231.60254591557023,5.469381205183652,4.124374111485909,0.0932018914020394
3,16,100,300.7247198217364,6.034533329702813,230.97426386604533,4.079778068327353,4.110319366336348,0.0708414700740897
3,8,50,301.2375353896002,5.508630173484879,231.86682200292395,3.714442945102774,4.126208023939353,0.0660969913846467
3,8,100,303.0005063527595,5.908059685931296,234.36653531615497,4.734324105614812,4.185476793992836,0.0849141369062556
3,32,100,319.0857006507127,101.93643705767504,250.91796375296963,104.8590636556994,4.46283166435982,1.8237109710075183
5,8,50,325.01406317072207,7.433022670858956,242.7387736742424,5.701439406400189,4.27619851962868,0.0996687927482923
5,16,50,326.93090159602315,10.60764372612771,244.8820975378788,9.747024178860872,4.315057518049102,0.1692166938356163
5,16,100,327.1525995450957,8.305929722915998,245.76786576704544,7.302836345140135,4.335886027807839,0.1273214631380284
5,32,100,344.0182664780239,112.387657244611,260.64435961174246,103.16098873081334,4.600547679958624,1.832296399727278
7,8,50,360.3601775251743,27.13182269485199,278.61682236389544,20.038037606319087,4.881787864516825,0.3496345428634216
7,16,100,365.3567715832757,32.59887970234057,284.34665865148395,22.63552588477661,4.957858161276747,0.393750059247728
7,8,100,368.4789828716388,47.80237323942542,288.46664470936514,40.99597197780478,5.015817742995915,0.6911299652087945
7,32,100,372.2571342954855,55.76798606303375,288.7160524764151,33.741584756185915,5.05019872576972,0.5859648090009145
9,16,100,401.1613049489209,33.79973567310624,322.2679001353145,32.0639694976631,5.627008400549323,0.5402024589488046
9,32,100,409.850253892704,43.07110010162939,325.69886051751433,35.297637751673484,5.69026452565671,0.6201036898988693
7,16,50,411.0785930710914,138.59462254861953,327.6900006756093,134.58257820673333,5.720881318146481,2.3075364666169498
9,8,100,414.9429351526578,88.46082998976094,329.8041580499388,61.77692248610255,5.762352082264815,1.0840760318391818
9,8,50,416.30278421841314,62.71006171795671,331.20941457312097,40.46741253067098,5.783170735110008,0.6805031463626623
11,8,100,426.7421824319013,44.65564089557662,350.25817854485547,39.02158193991159,6.084388724896041,0.6797632489663646
12,8,100,433.1558706554851,68.54215523656785,359.74203762478294,64.28155071770901,6.208588786142944,1.0890620341621196
11,16,100,452.0375580367551,73.59414460076286,367.2104301193133,62.67964390392222,6.370672012238479,1.0932306623085009
12,16,100,456.467147990623,66.46496870523778,378.6592651367188,57.43009543833531,6.530803694009463,0.9680439029236544
9,16,50,456.9312109812312,117.9439160445805,370.50750453176056,105.36086292882108,6.441186589397756,1.7767321626015598
11,8,50,461.6257383322923,67.41951670636641,373.4262741815476,48.15468090891973,6.492528336588079,0.8292512494048744
12,8,50,489.451034038442,123.1327496713662,398.5390407986112,101.8045162353628,6.877177985829237,1.7252875940193058
5,8,100,505.9871070377418,985.3741756015136,425.4951102959026,995.6103313176168,7.48333569103075,17.471695717565396
3,32,50,506.2405518705492,541.7077584568962,436.270079424228,550.7117041526957,7.75094922831569,9.726691696619705
11,16,50,542.3987815276287,340.6078013069708,434.83257292663154,238.7541811799445,7.51487686293561,4.044598759835886
7,32,50,560.0600530532665,458.6637369192463,462.0541923091096,438.6018763751341,8.083055586376412,7.631065591458527
11,32,100,585.146936174677,295.4214194638151,474.58612763281576,230.91799272814816,8.213602637743787,3.959783689540368
5,32,50,588.9380477384314,882.1584811720093,510.584676365708,894.8009570015894,8.968154159549123,15.696488114936107
12,16,50,592.3656203589655,275.8425212286777,470.77402513292105,211.12909030352617,8.082428919363851,3.590208144909011
11,32,50,628.5689016089051,295.33051866908164,501.0885935673097,213.8137130496854,8.631224377780661,3.617148270853386
12,32,100,650.478169991712,532.7308479491978,549.1581178453233,464.2385094447971,9.435926457461058,7.934924486229247
9,32,50,654.7911232577701,571.7957103019568,555.4507223690257,565.3731094272698,9.664228579783352,9.811200118253415
12,32,50,771.6411289205292,448.1602609255884,642.7053410847982,392.9021017915956,11.018476125140484,6.667954984233804
