True,Pred
4911,5233.4917
5218,5284.1333
5759,5373.961
5456,5523.5825
5359,5592.6772
5305,5617.166
5769,5618.488
5565,5683.7095
5367,5706.163
5633,5687.9526
5664,5708.735
6082,5731.7573
6505,5811.408
5813,5938.36
6379,5928.7773
6091,5991.701
6219,5997.618
6052,6014.9507
6105,6001.7295
6030,5996.717
5969,5982.1963
5707,5961.7695
5681,5907.0757
6052,5860.8813
5904,5885.038
5426,5888.616
6005,5818.415
5766,5847.06
5946,5842.026
5981,5863.3496
6104,5886.4253
5991,5921.7754
5670,5930.845
5709,5885.557
5416,5852.603
5793,5786.0557
5750,5792.089
5399,5798.5366
6123,5752.238
5730,5822.045
6015,5825.385
5989,5864.5503
6333,5891.276
6388,5960.911
6048,6022.8433
6322,6013.768
6405,6040.0557
6523,6073.633
