lookback,batch_size,epochs,encoder_units,decoder_units,attention,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std
12,8,50,64,128,False,257.04330902062475,1.6717399960390018,209.43784010145404,1.92991982287444,3.597233466194212,0.0397604090844631
12,8,100,64,128,False,257.61060609150707,1.5101892404460775,210.1563496907552,1.7689992861673685,3.612622067528501,0.0382566104150015
12,8,100,128,128,False,258.0729464573803,0.5239544210821223,209.61195848253035,0.4671840403191338,3.615530655327041,0.0123503479625906
12,8,50,128,128,False,258.21844792727995,0.7354397656260772,209.79042256673176,0.6440233291136934,3.619515566068557,0.0141382624143229
12,8,100,128,64,False,258.52535916093376,1.7146573642398235,209.58306579589845,1.9497929530764528,3.6014536203431025,0.0404686273139749
12,8,50,128,64,False,258.9943359518373,1.9605094408172004,210.1496476915148,2.060565462512748,3.612199676590361,0.0426227575423582
12,16,100,64,64,False,259.387404310631,0.9933123983765024,206.0577480740017,1.9636555231074293,3.502218867636665,0.0467703871648279
12,32,100,128,128,False,259.6412787874809,13.888366411543252,207.58761088053384,12.435697513809972,3.5379295995846154,0.1897740375393463
11,16,100,64,128,False,260.0593046855098,0.4285597212373394,210.92398822810367,0.8442134227251082,3.66292823789472,0.0191818570596769
12,8,100,64,64,False,260.4192799501448,4.60552314026337,208.82403021918404,2.582274845401127,3.5665874957765595,0.0327696876658946
11,16,100,128,64,False,261.10237815795386,0.9403112422352696,210.19190316751704,0.9247928790307436,3.654238045949416,0.0194222544947873
12,8,50,64,64,False,261.987937780296,4.856966206487743,209.81930372450088,2.369471085403249,3.57820925434209,0.0247818333698609
11,16,100,128,128,False,262.6154179429138,0.7137976801654965,207.82661763924324,0.4886060683952563,3.605032939348352,0.0113148963813263
11,8,50,64,64,False,262.71432722035826,1.068910539315305,207.38493967899663,0.3030266720312252,3.5927428373546237,0.0038403258947335
12,16,50,128,64,False,262.7345907600917,4.342087712434207,212.64058329264327,5.562687258963472,3.650436140317432,0.1343962776364159
11,8,100,64,64,False,263.38961590806025,1.1272511397758953,212.7006517059949,0.6728481454067022,3.711770591719815,0.0143189612194081
12,32,100,64,64,False,263.88965221945966,4.195405154275134,211.4430199517144,4.970595768915108,3.6053253112400823,0.0991170591565958
12,16,100,128,64,False,264.4810539930771,17.012971031144872,214.15941297743055,14.930547284712176,3.6676018372785895,0.2409499382502835
12,16,50,64,64,False,264.76220937517365,2.224488637330474,212.83056810167096,2.566741154093239,3.623107357068902,0.0489774590756154
12,32,50,128,128,False,265.0394225474922,1.8619464325066544,213.30557590060764,2.3357879975728717,3.6197875141885367,0.0399424667163965
3,8,50,128,64,False,265.4314296074174,3.5036291814713167,214.71511501736117,3.6490803611852782,3.849689294126968,0.0823189416281822
3,32,50,64,128,False,266.3033240790636,0.3346599814936506,216.50304561860375,0.22727687268144,3.873932254698788,0.0046862842530064
3,8,50,128,128,False,266.46233749395714,0.8889277755317074,214.69484420687132,0.2760042636384743,3.8667119355095023,0.0058143488225718
