True,Pred
4484,5018.4136
4911,5003.003
5218,5121.929
5759,5264.3823
5456,5498.586
5359,5535.4116
5305,5532.499
5769,5515.2036
5565,5644.389
5367,5663.4185
5633,5622.3535
5664,5691.2764
6082,5747.0737
6505,5879.5815
5813,6050.231
6379,5963.356
6091,6057.4517
6219,6041.4653
6052,6068.4644
6105,6040.4033
6030,6043.912
5969,6034.7324
5707,6016.5854
5681,5945.793
6052,5899.35
5904,5960.856
5426,5964.716
6005,5840.714
5766,5917.195
5946,5897.7266
5981,5930.267
6104,5953.649
5991,5994.761
5670,5987.7505
5709,5907.289
5416,5876.038
5793,5785.5337
5750,5832.039
5399,5854.6196
6123,5774.0083
5730,5909.303
6015,5883.108
5989,5934.571
6333,5951.7935
6388,6044.023
6048,6109.7554
6322,6059.983
6405,6106.0586
6523,6151.0977
