lookback,batch_size,epochs,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std
3,8,100,403.05223194957335,97.57055288331432,332.9771492941337,91.45197470878774,5.847499300472284,1.579235181126139
3,16,100,473.1659409721353,184.92837470745135,408.8575016847131,185.73425742408165,7.209501438056242,3.2419205697201607
3,8,50,491.08038554806905,219.02363334899636,423.0626422012061,224.86872683699917,7.4389721482831215,3.956658693467824
3,16,50,539.5458365249202,253.10176408547707,474.8809403268916,259.57063602469685,8.362492197488583,4.544416868061759
5,8,100,547.1900077858204,238.77349545569103,481.7730977746213,249.3241376745387,8.384409205723312,4.34624415174159
7,8,100,558.2934868346036,247.71083603155645,492.8644374631485,255.8739513517513,8.515804384598031,4.438363562311454
3,32,50,567.9877551601336,354.1814292682665,500.6655086405794,364.8207222501146,8.817882698496335,6.416990584482591
11,8,100,568.3499402854021,236.10545656685403,494.9180438190902,243.69485604444444,8.465866179530655,4.134408837891819
5,16,100,591.2446706085993,236.76672523167383,525.8897666607481,245.55031755890533,9.177560073136862,4.269679907012435
9,16,100,612.6034953313167,289.38000440167406,536.3061102175245,298.0297976422261,9.280605651164832,5.128855833461791
9,8,100,613.9988473329322,290.3707553607329,547.8427263646344,300.0227173755418,9.428297355732612,5.141970779240629
11,8,50,621.0999378254097,333.32337313916264,544.5994055923151,336.7082140853961,9.338663411221834,5.769485858320924
5,8,50,636.4205132397517,301.1857062829393,566.8863327118845,308.6517255764484,9.911435542800389,5.386199246393369
7,16,100,646.9547637382897,240.9493264310805,582.0379571110948,251.70318089340807,10.097950989681127,4.35884152369615
12,8,100,650.4724892241765,303.41941043130487,577.0585174560547,312.09685799644666,9.820372065973372,5.307162828133323
7,8,50,651.9106708231504,343.4658129281516,581.832203683913,349.23132598102893,10.097305990863498,6.049320156362984
9,32,100,688.7515333524498,331.08419615649734,602.430113070619,331.2253787037065,10.43806709332143,5.69863130743236
3,32,100,691.6723410445334,312.70546769135905,630.9975894325657,322.76863571072334,11.092602215013484,5.67841399841446
5,16,50,703.8940216473046,476.85302555837865,633.3058854906488,487.2365451463194,11.096436304763056,8.544107799635944
5,32,100,711.3089236720917,308.8302681552252,646.7865200343275,318.526104824098,11.330572009628234,5.547055951759837
7,32,100,718.0448764403017,306.200787265722,653.0617247383549,312.2030278342722,11.350442599448092,5.395336354240023
9,8,50,728.3865675914419,409.6177537981163,652.9670049530229,424.39282806701607,11.25912571163225,7.300083321089834
5,32,50,729.0176607335904,312.01131206480903,651.5074905303029,317.7493117025461,11.40839370895755,5.555025198777495
12,16,100,754.2562096005199,381.68320521549583,684.7444296942815,389.5268651450276,11.659070003285384,6.615314214585234
11,16,100,793.6496654171988,410.1393960731009,714.1551920572915,420.7634653167704,12.238382783248449,7.202559540483119
7,16,50,842.531801233221,440.6067519756148,774.2150771422954,458.6210502637492,13.444913765780653,7.960531056647029
11,32,100,867.3786498931828,432.4921268492132,788.1512281768178,441.646573782076,13.514739850346167,7.566966872588271
12,8,50,869.5267267662338,520.9878297663578,794.5597922431098,536.1048350639578,13.5356282914931,9.115996244756046
11,32,50,883.3839523743729,527.0078259557934,775.3476218710141,535.7653006274254,13.298306169279533,9.181387050042243
9,16,50,946.9743889099354,510.75164040211183,868.5897014144199,520.639762220655,15.01319534683276,9.04212209374261
12,32,100,969.5761677375737,499.5260686776542,885.1764031304252,509.8334381483465,15.084305214322503,8.662983236979752
9,32,50,988.787019650276,390.5821488572288,882.9491981655941,401.16929780366,15.235252285642442,6.912199166411857
7,32,50,1034.6287564242978,586.3947954792442,955.9263705655462,596.3121272430581,16.627845358662714,10.401255404473511
12,32,50,1050.6651393334296,527.9055019575934,943.569538201226,544.6231551528115,16.1014689480847,9.259503673238196
12,16,50,1125.10263448231,798.4296308016856,1043.5026939392092,820.0531114641401,17.787309386582525,13.959715095416971
11,16,50,1266.352438018153,622.5273465281155,1181.0211412494689,643.9258678908735,20.242397786862902,11.00914710242475
