True,Pred
4661,5425.319
4655,5439.8813
4716,5436.1484
4377,5454.0225
4484,5429.2974
4911,5445.421
5218,5450.9043
5759,5458.306
5456,5517.3267
5359,5532.9424
5305,5575.2974
5769,5605.2334
5565,5631.2188
5367,5654.1177
5633,5663.553
5664,5669.48
6082,5649.2476
6505,5697.1807
5813,5728.8853
6379,5719.827
6091,5784.87
6219,5769.744
6052,5786.427
6105,5829.8296
6030,5798.074
5969,5804.684
5707,5797.7944
5681,5785.341
6052,5768.0483
5904,5762.96
5426,5744.0093
6005,5739.117
5766,5749.3594
5946,5705.003
5981,5742.8735
6104,5754.1626
5991,5733.5723
5670,5761.703
5709,5756.1465
5416,5758.554
5793,5728.2583
5750,5735.027
5399,5715.256
6123,5691.198
5730,5725.7183
6015,5680.289
5989,5731.325
6333,5744.863
6388,5739.513
6048,5782.175
6322,5786.9526
6405,5815.3667
6523,5808.2666
